supplier_id,supplier_name,region,country,contact_email,contract_start,contract_end,on_time_delivery_rate,quality_score,total_orders_supplied,days_to_contract_end,order_norm,score,segment
", ",",-aT00-}, 021205a",Europe,totaltotal,: ,2018-11-01,2022-11-22,0.82,0.77,1249,-1086,0.2748062015503876,0.745,Good
: ,: ,Latin America,", ",}8 ,2021-07-22,2024-06-01,0.93,0.82,2445,-529,0.7383720930232558,0.867,Excellent
:,-1__ 0_,Europe,: ,supplier_email,2020-11-01,2024-12-11,0.92,0.88,1015,-336,0.18410852713178294,0.83,Good
namecontract: ,", ",Europe,:dataeT00_,data_ ::-,2019-04-22,2023-01-21,0.92,0.88,540,-1026,0.0,0.812,Good
_supplier: ,: ,North America,:: ,,2020-04-30,2021-12-20,0.84,0.83,2359,-1423,0.7050387596899225,0.823,Good
region 0 0}}. ,,Europe,: , ,2018-05-10,2025-12-07,0.93,0.88,648,25,0.04186046511627907,0.821,Good
contractacontactend,: ,Europe,: ,: rate,2018-11-03,2023-09-01,0.92,0.82,754,-803,0.08294573643410853,0.796,Good
_deliverya_9quality ,"datadelivery, ",North America,00001id,:98,2021-06-21,2025-09-01,0.93,0.88,2541,-72,0.7755813953488372,0.895,Excellent
quality00100 ,,Latin America,: ,,2020-07-22,2021-12-05,0.93,0.82,715,-1438,0.06782945736434108,0.8,Good
",end_o_",",:region{",Asia Pacific,",, ",quality_: ,2018-05-10,2023-06-05,0.88,0.88,541,-891,0.0003875968992248062,0.792,Good
: s4: ,00a ,Europe,: ,",0",2021-01-10,2024-06-24,0.93,0.77,1258,-506,0.27829457364341087,0.801,Good
", ",s_7,Asia Pacific,": ,i",,2021-07-22,2026-01-12,0.83,0.84,2106,61,0.6069767441860465,0.812,Good
,":00.8, ",Europe,", ",contact ,2018-12-05,2023-06-18,0.86,0.88,1366,-878,0.3201550387596899,0.814,Good
:n,total8 07quality2email,Latin America,: ,:@total,2021-07-22,2024-06-14,0.91,0.88,2111,-516,0.6089147286821706,0.868,Excellent
: ,,Asia Pacific,"}, ",data,2019-02-10,2022-11-01,0.82,0.83,1987,-1107,0.5608527131782945,0.798,Good
.,: 0.,Middle East & Africa,supplier ,: ,2018-05-10,2021-12-01,0.9,0.88,1567,-1442,0.398062015503876,0.842,Good
", :",}timep. ,Europe,", ",",}email_: ",2018-05-10,2022-03-18,0.9,0.87,891,-1335,0.13604651162790699,0.812,Good
",total",contact_ 0,Europe,__,dataSUP: 5_s}a_l ,2018-07-14,2025-05-13,0.82,0.83,540,-183,0.0,0.742,Good
region ,_,Asia Pacific,-contract}.supplied7,data,2021-07-01,2021-12-01,0.88,0.88,1550,-1442,0.39147286821705424,0.831,Good
contact_00: ,supplier ,North America,T00_,", ",2021-01-04,2023-09-20,0.82,0.81,728,-784,0.07286821705426356,0.741,Good
: , 0 ,Europe,", ",{{00 ,2018-06-02,2021-12-01,0.83,0.77,866,-1442,0.1263565891472868,0.736,Good
:..0,{,Europe,:{,", ",2018-05-10,2023-09-12,0.88,0.81,1346,-792,0.3124031007751938,0.795,Good
", 0",email ,North America,{:contact5startT00,: ,2019-05-01,2026-01-12,0.82,0.87,1021,61,0.18643410852713177,0.777,Good
._ 0,-ntotal,Latin America,",l :",contract ,2019-11-22,2025-03-16,0.82,0.77,1359,-241,0.3174418604651163,0.75,Good
contact_.,:_s_000delivery,Europe, ,,2021-06-05,2025-04-12,0.82,0.81,540,-214,0.0,0.734,Good
countrysupplier ,", ",Europe,,s_,2019-05-18,2024-01-18,0.82,0.82,1986,-664,0.5604651162790698,0.794,Good
SUP,supplier_SUP,Middle East & Africa,", ",42_4supplieremaile9n8_rate,2019-12-01,2024-12-09,0.82,0.84,1246,-338,0.27364341085271315,0.773,Good
supplied_timequality.name002082,",SUP-1 ",Europe,contract_9,: ,2021-06-30,2023-08-12,0.82,0.88,2118,-823,0.6116279069767442,0.823,Good
"total, ",T00::T00id,Europe,supplier ,_ ,2019-09-20,2024-02-04,0.91,0.87,644,-647,0.040310077519379844,0.807,Good
"contact,}",SUP-00quality-00: ,Latin America,id,:rateemail,2020-02-18,2023-12-12,0.86,0.84,2358,-701,0.7046511627906977,0.836,Good
4i,-: ,Latin America,",_41p3",",i",2020-03-18,2025-12-21,0.87,0.86,975,39,0.1686046511627907,0.796,Good
_n  , ,Middle East & Africa,}country_region,} ,2018-08-10,2022-03-12,0.83,0.82,540,-1341,0.0,0.743,Good
,supplier ,Asia Pacific,-onnrate_,8: ,2020-07-08,2025-07-14,0.82,0.81,1059,-121,0.20116279069767443,0.754,Good
:: ,data ,Middle East & Africa,:onend-_contact@_0,00,2019-01-08,2024-03-07,0.88,0.81,975,-615,0.1686046511627907,0.781,Good
 ,: ,Europe,.,",}supplier",2020-07-13,2026-01-12,0.9,0.84,643,61,0.03992248062015504,0.79,Good
",-898l",score ,Europe,SUP,_id,2018-05-10,2023-05-31,0.83,0.83,978,-896,0.1697674418604651,0.764,Good
,email,Middle East & Africa,"regionp-, ",", ",2018-07-08,2024-03-09,0.93,0.86,1349,-613,0.31356589147286823,0.84,Good
supplier1:-007id,total: e,Europe,sa 0 ,,2018-06-02,2026-01-12,0.93,0.82,3120,61,1.0,0.893,Excellent
",-@- ",supplieroT00:__,Europe,:00end-end} ,: ,2020-05-10,2024-07-25,0.86,0.88,1001,-475,0.17868217054263566,0.8,Good
SUP,: ,Europe,"suppliers.{8orders78,",._SUP,2019-08-20,2024-10-01,0.88,0.82,1553,-407,0.3926356589147287,0.807,Good
", ",total {@,Europe,SUP9-region.,8 ,2018-07-22,2024-04-21,0.89,0.85,1605,-570,0.4127906976744186,0.826,Good
: ,: ,North America,e,: ,2018-07-20,2026-01-06,0.93,0.87,654,55,0.044186046511627906,0.817,Good
suppliedsupplier,data{e,North America,", ",rateid ,2019-11-03,2023-11-12,0.82,0.88,2750,-731,0.8565891472868217,0.848,Good
e_score.supplier,-_00contractend,North America,o.{,: ,2018-05-30,2026-01-12,0.82,0.88,540,61,0.0,0.762,Good
53:--:, ,Latin America,{,:: ,2020-07-22,2025-01-22,0.9,0.77,544,-294,0.0015503875968992248,0.758,Good
:__ ,: ,Asia Pacific,: ,"-,",2018-09-03,2024-07-03,0.83,0.88,1302,-497,0.29534883720930233,0.797,Good
} ,},Middle East & Africa,._orders:T00: , ,2018-07-05,2024-02-18,0.93,0.88,1246,-633,0.27364341085271315,0.844,Good
",. ",: ,Europe,supplierdeliverylnstart,",: ",2019-12-05,2022-05-17,0.86,0.78,548,-1275,0.0031007751937984496,0.742,Good
_,: 70000,North America,,.__o00,2020-05-12,2022-04-11,0.88,0.87,1212,-1311,0.26046511627906976,0.814,Good
,: ,Europe,"-_8:@,contractstart",,2021-07-22,2022-03-14,0.93,0.81,2110,-1339,0.6085271317829457,0.85,Good
 0,a4T0000contact_,Europe,:@40{,: ,2019-07-21,2026-01-12,0.92,0.77,1211,61,0.26007751937984497,0.794,Good
- ,":22-}8, ",Middle East & Africa,on_,: ,2020-06-05,2024-05-10,0.83,0.88,3120,-551,1.0,0.867,Excellent
supplier}9end ,,Middle East & Africa,202,country,2018-05-10,2023-12-21,0.92,0.8,2101,-692,0.6050387596899225,0.841,Good
country,: }n8,North America,", ",,2020-06-14,2024-07-13,0.88,0.83,1570,-487,0.3992248062015504,0.812,Good
:,osupplied,North America,:,{,2020-02-14,2025-03-22,0.88,0.81,1994,-235,0.5635658914728682,0.82,Good
: ,: ,North America,: ,", ",2018-05-14,2021-12-01,0.82,0.86,1980,-1442,0.5581395348837209,0.81,Good
data00supplied,,Asia Pacific,: ,,2020-02-05,2024-12-12,0.88,0.82,540,-335,0.0,0.768,Good
S_-_c7,",: 8",Europe,contractstart,",_: ",2019-09-10,2024-04-19,0.88,0.81,640,-572,0.03875968992248062,0.768,Good
: ,":, ",Europe,":,}} ",-_ 07contract,2020-02-01,2024-07-02,0.93,0.77,1992,-498,0.5627906976744186,0.829,Good
"data_name00,@, {",,North America,:,contract-00contract ,2020-11-21,2024-01-22,0.88,0.81,1243,-660,0.27248062015503877,0.791,Good
"p, ",,Europe,___,: ,2020-02-12,2026-01-12,0.91,0.87,544,61,0.0015503875968992248,0.803,Good
oneon_rate,,North America,", 2_supplied1emailends","contract, ",2018-05-10,2025-07-05,0.89,0.83,751,-130,0.0817829457364341,0.785,Good
", 9",contact,North America,: ,", ",2020-11-01,2022-06-17,0.83,0.77,3120,-1244,1.0,0.823,Good
 ,on_: ,Europe,: -a,"SUP_deliverysupplierstart_,9{",2018-06-02,2024-07-11,0.82,0.86,2184,-489,0.6372093023255814,0.818,Good
supplier _score-T00-,-: ,Europe,8,1 ,2021-02-22,2025-09-07,0.93,0.88,1297,-66,0.2934108527131783,0.846,Good
00start_orders,7 ,North America, 0-T00email ,l,2021-06-20,2024-01-20,0.93,0.78,1347,-662,0.3127906976744186,0.808,Good
:-,contract_00nemail0,Europe,,p,2021-02-12,2024-07-14,0.86,0.85,3110,-486,0.9961240310077519,0.87,Excellent
: ,-_id,Middle East & Africa,,: s,2018-05-10,2023-03-09,0.88,0.77,2800,-979,0.875968992248062,0.836,Good
:2,total 7,Latin America,: ,,2018-08-15,2025-09-17,0.87,0.77,903,-56,0.14069767441860465,0.757,Good
", ",{ratesupplier_,Asia Pacific,s_score00,contact{,2019-12-18,2025-07-10,0.93,0.87,1298,-125,0.2937984496124031,0.842,Good
{_,",",Asia Pacific,"4name9_{, ",", {7{",2018-05-10,2026-01-12,0.82,0.88,1478,61,0.3635658914728682,0.798,Good
: ,1_score,Europe,", ",  ,2018-05-10,2023-01-18,0.87,0.84,2115,-1029,0.6104651162790697,0.832,Good
_ ,":, ",Europe,8,"00,: ",2018-06-08,2024-05-08,0.82,0.85,1887,-553,0.522093023255814,0.802,Good
,"S,  ",Asia Pacific,"region,oncontacttotalcontact_SUPorders: }:end",@,2019-01-05,2023-01-21,0.85,0.88,3116,-1026,0.9984496124031008,0.877,Excellent
"countrystart: 0.,00@_155time_1_{", ,Latin America,8 0contract.-scoreeo,"._scoreid1,-0p, ",2018-07-20,2023-12-05,0.93,0.77,867,-708,0.12674418604651164,0.786,Good
total,lonemail,Latin America,: ,,2018-07-12,2022-01-12,0.93,0.84,864,-1400,0.12558139534883722,0.814,Good
supplier1, ,Latin America, ,"total, ",2018-07-18,2026-01-12,0.93,0.8,2452,61,0.7410852713178294,0.859,Excellent
"contact,:end ",: ,Europe,email_supplied{,:8{1_end,2020-06-05,2026-01-12,0.83,0.78,1895,61,0.5251937984496124,0.78,Good
: ,", 07_c_supplier_8l7_supplied",Latin America,on ,76@_7...0}:_id,2018-05-19,2022-03-18,0.82,0.83,864,-1335,0.12558139534883722,0.755,Good
a {,,Asia Pacific,contract,_:2name_time_.end5,2019-05-05,2021-12-01,0.93,0.83,2768,-1442,0.8635658914728682,0.883,Excellent
,datas,Asia Pacific,region,contract00o_,2020-06-20,2025-01-05,0.83,0.88,2110,-311,0.6085271317829457,0.828,Good
total,}__end,North America,{,contract_,2019-02-12,2022-03-17,0.93,0.87,2197,-1336,0.6422480620155039,0.877,Excellent
supplier} 0_,deliverysuppliede5 ,Europe,-00: ,,2018-09-22,2023-07-14,0.93,0.83,720,-852,0.06976744186046512,0.804,Good
a99,:4time00start-._ scontact.oncontactT00-,North America,: ,A 0T00 0total,2018-07-02,2026-01-12,0.93,0.88,2090,61,0.6007751937984496,0.877,Excellent
id_,endiT0000: ,Asia Pacific,contract0,", ",2019-07-02,2021-12-01,0.9,0.85,1285,-1442,0.28875968992248063,0.819,Good
"},{o",}-_2end,Europe,,",",2019-11-04,2025-11-12,0.83,0.82,774,0,0.09069767441860466,0.752,Good
5_time21,":,-6 ",Europe,4 ,score,2021-02-18,2024-12-14,0.83,0.88,2950,-333,0.9341085271317829,0.86,Excellent
on: ,"-}score,",Asia Pacific,:00,: ,2020-09-12,2026-01-12,0.86,0.83,767,61,0.087984496124031,0.771,Good
: 8,contract8supplier_,Europe, ,":supplier3, ",2018-07-15,2026-01-12,0.9,0.85,1364,61,0.31937984496124033,0.822,Good
rate ,o,North America,contract, 0.,2019-02-24,2024-06-14,0.89,0.82,1908,-516,0.5302325581395348,0.826,Good
,,North America,00}, 0.-,2019-12-22,2026-01-12,0.93,0.77,1265,61,0.2810077519379845,0.801,Good
:supplier.,"dataorders, ",North America,",orders__._.:..orders",:.,2018-12-20,2024-07-17,0.86,0.77,2027,-483,0.5763565891472868,0.796,Good
,contractcountryendsupplieron{,Latin America,supplier ,"Sn, ",2021-01-12,2026-01-12,0.93,0.77,2884,61,0.9085271317829458,0.864,Excellent
"n__,edelivery,-deliveryiddelivery"," 0.,_score ",Middle East & Africa,,:: ,2021-06-05,2024-05-10,0.83,0.83,1333,-551,0.30736434108527133,0.778,Good
,A_ ,Europe,",contract ",", ",2020-12-03,2023-06-17,0.93,0.85,2104,-879,0.6062015503875969,0.866,Excellent
: data,", ",Middle East & Africa, 0--,"SUP{_5 045,contract",2019-05-03,2024-04-06,0.82,0.86,1073,-585,0.2065891472868217,0.775,Good
 ,"__--:00osupplied, ",North America,_0contact}SUP000000id,T00,2019-05-05,2024-01-29,0.89,0.77,979,-653,0.17015503875968993,0.77,Good
4_orders,country_,Europe,:,"00, ",2019-08-01,2024-04-14,0.89,0.83,2174,-577,0.6333333333333333,0.84,Good
,,North America,_rate,scoreone,2019-06-10,2023-03-14,0.82,0.83,1878,-974,0.5186046511627908,0.794,Good
", ",", ",Latin America,,: ,2020-02-05,2023-01-12,0.93,0.86,882,-1035,0.1325581395348837,0.822,Good
supplier1 --}00_,_email: ,North America,:end,,2020-07-05,2024-07-11,0.83,0.8,832,-489,0.11317829457364341,0.746,Good
{, {_:id: ,Asia Pacific,89 ,", ",2019-04-12,2024-06-11,0.83,0.87,924,-519,0.14883720930232558,0.778,Good
 ,_.__,North America,73,,2018-05-10,2023-05-05,0.82,0.87,712,-922,0.06666666666666667,0.765,Good
_SUP {-,,Asia Pacific,:_}1,contactcountryo18supplier__deliverysupplied. 3,2019-03-22,2026-01-12,0.93,0.83,1250,61,0.2751937984496124,0.825,Good
2:  ,,Europe,,_:001id._{.,2020-01-20,2024-06-21,0.86,0.88,1357,-509,0.31666666666666665,0.814,Good
: ,: },North America,n_3namea,-on,2018-07-22,2025-01-10,0.9,0.88,2735,-306,0.8507751937984496,0.887,Excellent
-supplied,- ,North America,: ,on00,2020-07-21,2021-12-01,0.93,0.86,1366,-1442,0.3201550387596899,0.841,Good
si-_ ,4._.,Europe,quality:. ,se ,2018-05-12,2024-07-10,0.9,0.81,973,-490,0.16782945736434107,0.791,Good
S ,,Europe,", supplier.9",qualityordersend,2019-12-03,2023-09-20,0.82,0.88,540,-784,0.0,0.762,Good
_00}: ,contact9 _s_,North America,total_id2total ,":0, ",2019-07-03,2022-12-20,0.83,0.85,1969,-1058,0.5538759689922481,0.81,Good
_o,: ,Europe,quality2_supplied: ,", ",2021-02-10,2025-02-03,0.93,0.86,1009,-282,0.1817829457364341,0.827,Good
.--1268.-7}suppliedli,", ",North America,: ,: ,2021-03-02,2021-12-01,0.9,0.88,713,-1442,0.06705426356589148,0.809,Good
00:00::: ,.id9841email,North America,":delivery_:00, ",: ,2021-07-22,2025-09-18,0.86,0.82,1989,-55,0.5616279069767441,0.814,Good
. n,,North America,", ", ,2021-05-21,2023-12-05,0.88,0.88,3120,-708,1.0,0.892,Excellent
", ", ,Asia Pacific,: s_supplieda71idoT00-,",qualityT00:001{",2019-07-23,2024-01-13,0.92,0.83,1321,-669,0.30271317829457367,0.822,Good
_-a,:00,Latin America,: ,: ,2020-07-05,2023-01-01,0.83,0.84,869,-1046,0.12751937984496123,0.764,Good
a,: ,North America,quality,SUP,2020-11-27,2023-01-21,0.93,0.85,637,-1026,0.037596899224806204,0.809,Good
", ",supplier,Asia Pacific,: _country{,supplier ,2018-05-10,2023-09-01,0.82,0.84,2121,-803,0.6127906976744186,0.807,Good
 ,", ",Asia Pacific,8__end,", ",2020-07-10,2025-12-11,0.88,0.86,1457,29,0.3554263565891473,0.82,Good
: {,T00T00email,Europe,: ,: ,2019-07-18,2024-07-11,0.86,0.77,2565,-489,0.7848837209302325,0.816,Good
quality, 0 ,Europe,:: ,suppliercontract,2019-07-16,2024-09-04,0.93,0.77,540,-434,0.0,0.773,Good
T00id}:rate,"on_suppliedend,- 0  ",Latin America,8 ,", ",2020-12-18,2024-07-16,0.89,0.77,3120,-484,1.0,0.853,Excellent
rate: a_,00 ,North America,", ",:region,2018-12-20,2024-01-03,0.88,0.88,1020,-679,0.18604651162790697,0.811,Good
", ", ,Asia Pacific,country{,__id.,2021-01-10,2024-01-01,0.88,0.81,1367,-681,0.3205426356589147,0.796,Good
supplier00,: ,Europe,,-supplier_7 ,2018-05-14,2022-12-18,0.93,0.85,1558,-1060,0.3945736434108527,0.844,Good
"_dataendT00:T00,81:00, ",: ,Asia Pacific,contract,4,2018-05-10,2024-12-12,0.83,0.85,1637,-335,0.4251937984496124,0.798,Good
 ,:}.6:T0000{,North America,name_4supplier_,,2019-12-10,2024-12-05,0.83,0.88,1334,-342,0.3077519379844961,0.798,Good
s00contract8_15,"SUP 0,",North America,9countrytotal{,contactend-::_rate,2020-03-20,2026-01-12,0.86,0.81,2114,61,0.610077519379845,0.815,Good
", ",",0,_00-:-1ordersa-.orders5score",North America,", ",S__idid,2018-09-05,2026-01-12,0.93,0.86,1644,61,0.42790697674418604,0.852,Excellent
",pT00_}:4",:-12a-a12}T00:SUP ,Europe,"{, ", 0-9 ,2021-02-22,2026-01-12,0.92,0.85,1409,61,0.3368217054263566,0.834,Good
"quality20,_name",: ,Asia Pacific,: ,:{,2018-08-05,2026-01-12,0.93,0.87,2035,61,0.5794573643410853,0.871,Excellent
contract_7: ,__score_name,Asia Pacific,{,: ,2020-06-27,2024-07-15,0.85,0.86,976,-485,0.16899224806201552,0.786,Good
 0time-, ,Asia Pacific,:nend,}_-rate,2019-07-17,2026-01-12,0.9,0.87,1344,61,0.3116279069767442,0.829,Good
0,5_startemails ,North America,_ ,: ,2018-06-30,2022-03-18,0.93,0.83,757,-1335,0.08410852713178295,0.805,Good
A ,"contract, ",Europe,contracto_,: ,2018-12-28,2024-12-24,0.82,0.77,3118,-323,0.9992248062015504,0.818,Good
"-, ",:,North America,contract_,202,2021-03-26,2024-08-11,0.88,0.81,2788,-458,0.8713178294573644,0.851,Excellent
: 0 ,: ,Latin America,:contact5,on_,2020-07-12,2023-09-29,0.91,0.87,1925,-775,0.5368217054263565,0.857,Excellent
:_{{,,Middle East & Africa,end: ,-,2018-07-12,2023-02-13,0.93,0.81,751,-1003,0.0817829457364341,0.797,Good
_17supplier,T00a,Latin America,: ,"-supplier 00T00,9",2018-05-10,2022-11-20,0.82,0.82,2120,-1088,0.6124031007751938,0.799,Good
,regionregion,Asia Pacific,contract,email,2018-05-20,2024-01-01,0.87,0.82,3105,-681,0.9941860465116279,0.862,Excellent
:_.,: {,Asia Pacific, ,: ,2021-02-05,2025-08-29,0.89,0.87,1211,-75,0.26007751937984497,0.819,Good
:,",",Europe, 0,: srate,2019-08-18,2023-12-01,0.82,0.87,2071,-712,0.5934108527131783,0.817,Good
dataend_{,:contact,Latin America,: ,: ,2019-04-15,2022-12-15,0.87,0.88,1853,-1063,0.5089147286821706,0.838,Good
,: ,Europe,contact}_, ,2018-07-06,2026-01-12,0.82,0.85,1655,61,0.4321705426356589,0.793,Good
country6-.00orders90-ordersaratecontact0,: ,Europe,8-00-T00a,qualityemail} contract_5,2019-07-29,2025-09-01,0.88,0.84,2121,-72,0.6127906976744186,0.837,Good
: ,: ,North America,:82o,: ,2020-12-30,2023-06-01,0.91,0.78,1368,-895,0.3209302325581395,0.799,Good
"_ score: 0on{:00, ",,North America,", ",: ,2020-12-15,2022-05-12,0.84,0.77,2884,-1280,0.9085271317829458,0.819,Good
: 0,4end,Europe,"id.00, ",: ,2018-07-26,2024-12-12,0.82,0.83,751,-335,0.0817829457364341,0.75,Good
"_,_delivery ",on_2_ 0_7supplied,North America,00 ,"ptime_delivery, ",2021-07-22,2022-12-07,0.92,0.82,3073,-1071,0.9817829457364341,0.886,Excellent
emaildata7l2scorecountryotime89.--@898contactscorea,contact00: ,Europe,2,,2019-12-22,2024-09-21,0.82,0.85,851,-417,0.12054263565891472,0.762,Good
s,,Europe, 0,_supplied::time ,2018-05-15,2023-12-15,0.93,0.8,1255,-698,0.2771317829457364,0.813,Good
: ,rate,Europe,}country,: ,2018-05-10,2024-08-14,0.82,0.77,1484,-455,0.36589147286821705,0.755,Good
: ,}_supplier_supplied_ 0,Asia Pacific,"4,_ ","region, ",2021-02-28,2024-03-14,0.86,0.87,556,-608,0.006201550387596899,0.779,Good
", ","data, ",North America,"n_-, 00",country,2019-06-19,2026-01-12,0.93,0.82,2115,61,0.6104651162790697,0.854,Excellent
: ,:00 country,Asia Pacific,"contract-0108s, ",:e8,2021-05-15,2025-01-12,0.93,0.87,2141,-304,0.6205426356589148,0.875,Excellent
supplier,",i2_::, ",Europe,:5-,SUPstart00,2018-11-10,2024-04-17,0.82,0.88,770,-574,0.08914728682170543,0.771,Good
202 ,__,Europe,ls00,: ,2020-07-21,2024-04-04,0.83,0.87,1550,-587,0.39147286821705424,0.802,Good
.8p,:@end,Latin America,", ",,2018-05-30,2022-12-12,0.86,0.86,2082,-1066,0.5976744186046512,0.834,Good
T00,: 8email_ ,Europe,countryorders_ ,} 0 ,2018-06-24,2024-05-04,0.92,0.88,1555,-557,0.39341085271317827,0.851,Excellent
- es,"contract, ",North America,", ",e ,2021-07-03,2025-01-16,0.88,0.81,1487,-300,0.3670542635658915,0.801,Good
contract.9namerate3}, ,Europe,contact ,", ",2019-03-18,2021-12-01,0.86,0.85,3114,-1442,0.9976744186046511,0.87,Excellent
contactT00.00,oT00: ,North America,a,_ ,2018-08-29,2021-12-01,0.83,0.77,2979,-1442,0.9453488372093023,0.818,Good
", ",", ",Middle East & Africa, 1-4 ,"name, ",2018-07-22,2022-09-01,0.85,0.8,1343,-1168,0.3112403100775194,0.776,Good
