supplier_id,supplier_name,region,country,contact_email,contract_start,contract_end,on_time_delivery_rate,quality_score,total_orders_supplied,days_to_contract_end
contract_ ,,Middle East & Africa,name,on,2021-04-03,2021-12-01,0.88,0.82,978,-1442
total,: ,North America,"total_contractorders_3time_T00-, ",on,2019-12-05,2021-12-01,0.82,0.88,647,-1442
._: ,: ,Europe,", ","n_a--2-00supplier,00",2020-02-01,2021-12-01,0.82,0.82,889,-1442
", ",-,North America,: ,", ",2018-05-10,2021-12-01,0.83,0.88,1357,-1442
 ,2total: 0 ,Latin America,:00 ,contract_delivery,2021-02-22,2021-12-01,0.82,0.83,540,-1442
: ,", ",Asia Pacific,", ",: ,2018-05-10,2021-12-01,0.89,0.88,1359,-1442
", ",: ,Latin America,: 000,{_supplier_},2021-07-22,2021-12-01,0.82,0.84,1951,-1442
", ",}-emailsupplied}osupplier}_start0_,Latin America,: ,,2021-06-21,2021-12-01,0.88,0.81,2876,-1442
", ",: --a-7n00 03- ,Asia Pacific,}, 000_score ,2020-07-30,2021-12-01,0.86,0.85,544,-1442
_ ,8},Asia Pacific,", a",:-{,2020-07-22,2021-12-01,0.88,0.78,540,-1442
n.supplied6startcontract, ,North America,:--7a2,":contact, ",2019-07-14,2021-12-01,0.82,0.82,1259,-1442
country_{: ,data,Europe,,", 0",2020-06-15,2021-12-01,0.9,0.86,1356,-1442
: ,202 0T00contactl ,North America,country_regionsuppliedT00: ,l_,2018-06-10,2021-12-01,0.84,0.83,1867,-1442
-supplied,- ,North America,: ,on00,2020-07-21,2021-12-01,0.93,0.86,1366,-1442
start_e ,_start,Middle East & Africa,8,contract,2019-07-06,2021-12-01,0.93,0.88,656,-1442
: ,",_",Europe,: {,",start2:: ",2021-03-03,2021-12-01,0.86,0.87,982,-1442
supplier_.rate,-T00supplied.81contact,Asia Pacific,{,", 2",2018-05-10,2021-12-01,0.93,0.78,1873,-1442
: ,",:@",Europe,on,.6,2020-07-30,2021-12-01,0.87,0.87,1567,-1442
0000,-country00,North America,", ",quality,2019-07-12,2021-12-01,0.88,0.85,642,-1442
: ,":,9-6contact-sregion.id,: ",Europe,: {S-_,", quality 0,,deliveryl@.}{",2019-06-10,2021-12-01,0.87,0.77,2121,-1442
: ,} 0name.7data,North America,a,}14contract_name,2018-05-10,2021-12-01,0.82,0.78,625,-1442
_ ,total,Latin America,: ,data__,2020-11-15,2021-12-01,0.82,0.77,997,-1442
} ,"quality, ",Middle East & Africa,-totalcountry, countryqualityssupplied,2018-07-04,2021-12-01,0.82,0.86,1679,-1442
supplier,:00 ,Asia Pacific,supplier00_00,:,2021-07-22,2021-12-01,0.93,0.8,556,-1442
: ,-T00rate,Europe,: ,:00,2019-12-03,2021-12-01,0.9,0.85,998,-1442
T00__,atimestart_lemail,Asia Pacific, ,: ,2018-07-22,2021-12-01,0.93,0.86,2263,-1442
 0,: ,Europe,8,: ,2019-02-01,2021-12-01,0.9,0.87,683,-1442
.--1268.-7}suppliedli,", ",North America,: ,: ,2021-03-02,2021-12-01,0.9,0.88,713,-1442
_,},Europe,,:8start,2018-05-22,2021-12-01,0.84,0.82,1573,-1442
region,20200supplier: ,North America,,: ,2018-05-16,2021-12-01,0.82,0.83,891,-1442
"contact00.8,_rate","contactquality,_00{",Middle East & Africa,"a3, ",supplier._id_00n00qualitya:country,2019-11-16,2021-12-01,0.86,0.87,3103,-1442
contractname,: ,Europe,}1contract_ }},"country-,",2020-06-02,2021-12-01,0.86,0.77,1920,-1442
", ",contractT00 ,Asia Pacific,: -,-00,2021-07-22,2021-12-01,0.91,0.84,2121,-1442
:,,Europe,stotal02,", {supplier00",2021-07-02,2021-12-01,0.93,0.88,561,-1442
}4score00: ,"contact_orders0_,",North America,@end,n ,2018-06-04,2021-12-01,0.82,0.77,854,-1442
contractrate,quality,Europe,total_,,2020-07-09,2021-12-01,0.82,0.88,688,-1442
_ ,:-.,Middle East & Africa,1,: contract,2019-03-06,2021-12-01,0.82,0.87,3101,-1442
:  ,", ",Latin America,", ",rate ,2018-10-30,2021-12-01,0.89,0.83,2200,-1442
}ea_,raterate,North America,",country@delivery",", 0 ",2018-05-10,2021-12-01,0.86,0.77,3120,-1442
n0-0,: ,North America,,contract_: 0.,2020-02-29,2021-12-01,0.88,0.88,1172,-1442
",--contractanend_",contract 0contract,North America,: , ,2021-07-22,2021-12-01,0.91,0.81,737,-1442
,"total, ",North America,_delivery1}id 0a0,contract@: ,2019-05-13,2021-12-01,0.84,0.85,739,-1442
",",__9_,Europe,"-scoreid8-8s,time ",:i}500name{,2021-01-05,2021-12-01,0.87,0.8,1552,-1442
"SUPido:}00:00-,, -200-, ",", ",Europe,contract_score,: ,2019-09-18,2021-12-01,0.87,0.77,886,-1442
",,",", ",Middle East & Africa,T00:a}contract_00,"a., {",2018-05-10,2021-12-01,0.91,0.77,1864,-1442
}.00,:os,North America,,l,2021-07-22,2021-12-01,0.93,0.88,1001,-1442
 ,: ,North America,on, 0-n-,2019-02-18,2021-12-01,0.93,0.87,1566,-1442
: ,,Middle East & Africa,: ,:,2020-07-14,2021-12-01,0.82,0.87,993,-1442
:.8, ,Middle East & Africa,S, -32,2018-05-10,2021-12-01,0.93,0.77,3112,-1442
,supplier 0end,North America,", ",supplier.contract5{,2020-07-02,2021-12-01,0.93,0.88,568,-1442
",",: ,Asia Pacific,"}id,supplied-:00::008-delivery",_,2020-05-14,2021-12-01,0.93,0.84,2546,-1442
contact_-1o,:p- ,North America,:,,2020-06-14,2021-12-01,0.93,0.88,733,-1442
@_.,", ",Middle East & Africa,,"88s48,name00",2020-04-01,2021-12-01,0.87,0.85,3120,-1442
_@_.,", ",Europe,}8 0start:8e.,9a2supplier_email00,2020-02-01,2021-12-01,0.82,0.83,717,-1442
: ,p ,Asia Pacific,:o,: ,2021-07-22,2021-12-01,0.88,0.77,570,-1442
: ,: ,Europe,regiontime: ,00__contact_ ,2020-08-05,2021-12-01,0.84,0.88,1013,-1442
15rate7 0ons_score ,"_}-@@874a9-7:00_quality:00,",North America,contract_,,2018-05-10,2021-12-01,0.88,0.8,893,-1442
{,"a0, ",Europe,e00a,"contract, ",2021-07-22,2021-12-01,0.82,0.77,2871,-1442
datasupplierend.00:delivery,{@8: ,Middle East & Africa,: , 0_7SUP,2018-07-01,2021-12-01,0.89,0.83,2061,-1442
,contract_,North America,: ,_SUPanames.score: ,2020-03-02,2021-12-01,0.83,0.78,665,-1442
name,on,North America,: ,lname,2019-02-22,2021-12-01,0.83,0.8,744,-1442
:: ,"_,p ",Middle East & Africa,:,: ,2018-08-22,2021-12-01,0.92,0.83,868,-1442
: ,:00,Europe,} ,", ",2020-07-30,2021-12-01,0.82,0.81,2103,-1442
,___._89{,Asia Pacific, ,: ,2021-07-22,2021-12-01,0.92,0.88,3050,-1442
:supplier00: ,region __02o-email: ,Middle East & Africa,,__countryT00:00,2021-07-22,2021-12-01,0.82,0.84,1913,-1442
:s,", ",North America,: ,: ,2020-09-25,2021-12-01,0.88,0.81,911,-1442
"-a 0}, ", ,Europe,email8start,00: ,2021-07-22,2021-12-01,0.82,0.88,3117,-1442
: ,: ,Europe,data ,region,2020-08-06,2021-12-01,0.82,0.82,1474,-1442
 idai ,:-6delivery,North America,supplied_name_{,: ,2018-05-10,2021-12-01,0.88,0.88,780,-1442
"80p,_end",_ nidon005,Europe,: ,-delivery_id8,2019-08-05,2021-12-01,0.93,0.82,1882,-1442
5-8_00id,region,Europe,: ,,2018-11-29,2021-12-01,0.92,0.8,3109,-1442
rate_-timeend-: ,",_1",Latin America,l17endorderscountry},1:id,2020-06-30,2021-12-01,0.82,0.77,755,-1442
contract_8start,", ",Latin America,: 0sstartend,n-,2021-07-22,2021-12-01,0.92,0.83,730,-1442
8 ,", ",Middle East & Africa,rate ,,2018-12-15,2021-12-01,0.82,0.86,1322,-1442
",,2score",- ,North America,}T00 ,7 ,2019-11-22,2021-12-01,0.82,0.85,718,-1442
:on_00},_orders9orders55l ,Middle East & Africa,contract--} ,: ,2020-07-07,2021-12-01,0.93,0.77,1992,-1442
contactT00.00,oT00: ,North America,a,_ ,2018-08-29,2021-12-01,0.83,0.77,2979,-1442
contract.9namerate3}, ,Europe,contact ,", ",2019-03-18,2021-12-01,0.86,0.85,3114,-1442
}contract: ,", e4rateemail",Middle East & Africa,: ,:2 ,2019-10-01,2021-12-01,0.84,0.87,2112,-1442
"_delivery,supplied_",00,Europe,,0,2020-04-06,2021-12-01,0.88,0.85,984,-1442
country}@1padelivery,: ,Europe,: __name,: ,2018-07-22,2021-12-01,0.88,0.83,688,-1442
", e",:.,North America,00: ,", ",2019-05-10,2021-12-01,0.88,0.88,973,-1442
",supplier_supplied}_total-,_ ",: ,Latin America,", ",SUP} ,2018-05-10,2021-12-01,0.88,0.82,874,-1442
: 9_ 0 0 ,supplier4}3 0{,Europe,:00 ,onl{,2020-12-03,2021-12-01,0.91,0.83,1021,-1442
ide,_supplier_orders,Middle East & Africa,scorea0,:00acontract,2020-10-22,2021-12-01,0.9,0.88,540,-1442
2022,", ",North America,region ,countryon_ostart00T00},2018-06-12,2021-12-01,0.93,0.87,2425,-1442
contact ,-,Middle East & Africa,_quality8 ,"aregionend, ",2018-05-10,2021-12-01,0.85,0.77,866,-1442
contactscore},:orders8T00,Europe,: ,contact ,2018-11-01,2021-12-01,0.93,0.88,1478,-1442
: ,",i4total ",Europe,: ,}-.,2018-07-10,2021-12-01,0.86,0.88,581,-1442
}contact4_,region ,Europe,2_timen 0end,00 endquality,2018-11-22,2021-12-01,0.89,0.81,1273,-1442
lend,":00, 0",Europe,"202si, ",:contract_ends,2020-07-17,2021-12-01,0.82,0.86,1242,-1442
8,: ,Europe,_en1region2_start: ,-000eal ,2018-05-10,2021-12-01,0.93,0.8,1015,-1442
: ,SUP:00,North America,on3s,", ",2021-04-06,2021-12-01,0.88,0.82,2460,-1442
", ",00{_,Middle East & Africa,_..,- ,2019-07-22,2021-12-01,0.93,0.87,1956,-1442
contract _supplierqualitysupplier888l,{country,North America,__ustart,: ,2018-05-10,2021-12-01,0.88,0.87,3118,-1442
", {",T00: rate00contract:iorders.200},Middle East & Africa,202e, 0.9,2020-04-22,2021-12-01,0.9,0.8,1484,-1442
,:{,Europe,"data_rate{, ",quality}end}id ,2019-07-10,2021-12-01,0.91,0.82,978,-1442
:,: ,North America,.2supplied_00total_7sn}_rate ,.onscore,2021-05-10,2021-12-01,0.93,0.83,674,-1442
,1_start 7{,Middle East & Africa,a,@,2020-01-22,2021-12-01,0.83,0.82,1616,-1442
country,: ,Latin America,:_endemail{,: ,2020-03-22,2021-12-01,0.93,0.77,1273,-1442
country 0 ,", ",Asia Pacific,: {,:_ ,2018-08-16,2021-12-01,0.93,0.88,3101,-1442
"contract-,, ",SUP@T00contract0.,Asia Pacific,: ,", ",2019-08-09,2021-12-01,0.93,0.8,782,-1442
,", ",North America,", ",,2018-05-10,2021-12-01,0.89,0.81,2107,-1442
}:,: ,Asia Pacific,_-,: name6,2019-08-05,2021-12-01,0.92,0.85,2704,-1442
-.3countrydelivery_,"2lid_o@,4supplier",Middle East & Africa,country ,"region-,: ",2019-08-25,2021-12-01,0.87,0.88,697,-1442
,9-: ,Asia Pacific,"delivery4-,contract2 0: ",quality,2020-04-21,2021-12-01,0.88,0.79,1458,-1442
", ",s,Asia Pacific,", ",name,2020-07-08,2021-12-01,0.93,0.77,3114,-1442
",supplier ", 2@total1,Europe, ,", ",2018-05-10,2021-12-01,0.82,0.83,1273,-1442
contract_supplied, 0-orders_00,North America, ,l ,2020-03-10,2021-12-01,0.89,0.83,756,-1442
,: ,Asia Pacific,",l: ",", ",2018-05-10,2021-12-01,0.87,0.77,1560,-1442
supplier ,202els}e,Europe,8 ,,2018-05-10,2021-12-01,0.92,0.83,728,-1442
nameemail,:00,North America,",__idtime__{",", ",2021-05-18,2021-12-01,0.86,0.83,577,-1442
"on,@}pname: ",:_}.,Latin America,contract_rate, 0,2018-09-12,2021-12-01,0.82,0.77,867,-1442
name-,: ,Europe,.,SUPe,2018-12-09,2021-12-01,0.82,0.8,2104,-1442
:_,e,North America,"S, ",: ,2018-05-18,2021-12-01,0.89,0.78,1248,-1442
: ,00_7time1-a,Europe,delivery ,",_{{",2019-05-20,2021-12-01,0.93,0.88,664,-1442
: Send contract,: ,Europe,_.@_,e,2021-06-21,2021-12-01,0.88,0.83,731,-1442
,total-s1on,Europe,,on_rate00s,2020-11-15,2021-12-01,0.88,0.88,1378,-1442
_:supplier: ,", ",Europe,000,2028:a: ,2021-07-22,2021-12-01,0.89,0.83,3103,-1442
"202:00},timesupplied ",_,Europe,1.9}-orders85T00_2 0@4-01contract_@T00an0a_p,_idend,2019-07-15,2021-12-01,0.83,0.83,3120,-1442
supplier emailSUP},:contractemail5}l,Middle East & Africa,s},,2019-03-22,2021-12-01,0.88,0.81,728,-1442
: ,,Asia Pacific,__8, ,2019-08-05,2021-12-01,0.82,0.83,880,-1442
.__ ,,Middle East & Africa,":00_,}{",",rate00",2018-12-14,2021-12-01,0.87,0.87,775,-1442
:@end ,SUPn  0,North America,00, 09-46: ,2018-08-12,2021-12-01,0.82,0.88,3104,-1442
on-},: ,Europe,00{: ,,2019-01-20,2021-12-01,0.86,0.84,642,-1442
aa-odelivery-delivery{,202,Europe,}contract,: ,2021-06-05,2021-12-01,0.82,0.81,2935,-1442
e00 0:7email00,: ,Middle East & Africa, ,0{,2020-02-10,2021-12-01,0.83,0.88,654,-1442
"suppliedend-, ",:007,Europe,", 0}",:email-,2019-11-14,2021-12-01,0.9,0.81,1564,-1442
: ,__ ,Latin America,email-}-oorders1, 0,2019-03-27,2021-12-01,0.89,0.88,1555,-1442
contract ,",{",Asia Pacific,: ,"contract, Stimeid",2020-06-21,2021-12-01,0.86,0.82,644,-1442
_ 0. ,- ,Europe,country0004,"-, ",2018-06-22,2021-12-01,0.89,0.86,1352,-1442
:email9contact,",_supplied9region ",North America,oname,: ,2021-07-22,2021-12-01,0.93,0.77,1014,-1442
"l4onquality, 8iddelivery9{_-country-::{",2020,Middle East & Africa,", ",8-2: ,2018-05-10,2021-12-01,0.93,0.77,659,-1442
:nl2,_.,Latin America,", ",total_email,2018-11-14,2021-12-01,0.82,0.84,1312,-1442
:rate{,:._end,North America,country,delivery{supplied,2021-05-22,2021-12-01,0.88,0.88,1482,-1442
. ,007- ,Asia Pacific,: {{:{_score,: ,2019-11-10,2021-12-01,0.82,0.87,641,-1442
on_time_,SUP-03 ,Middle East & Africa,.,".{4onqualityendestart-, ",2018-08-26,2021-12-01,0.87,0.88,1261,-1442
: ,data 0country-,Europe,0000}a00,total,2018-07-25,2021-12-01,0.82,0.88,2114,-1442
":, ",: ,Latin America,}: ,:_00,2018-09-15,2021-12-01,0.93,0.8,2110,-1442
o-: ,", ",Asia Pacific,,":,0contractcontract. ",2019-07-20,2021-12-01,0.93,0.83,1467,-1442
", ",- ,Middle East & Africa,_namescore00,. ,2019-09-03,2021-12-01,0.83,0.81,2149,-1442
rate,contact00e,Latin America,",0000quality",: ,2020-09-15,2021-12-01,0.93,0.86,2922,-1442
", ",,Europe,:adelivery,", ",2018-09-03,2021-12-01,0.83,0.84,660,-1442
}scorep-id 0.9.contract_supplieron,",: ",Asia Pacific,data_-contact0ssupplier{:00,:_00a:.contract ,2021-07-22,2021-12-01,0.82,0.82,1242,-1442
-8 ,:0000supplier000,Europe,{,",-, ",2021-06-15,2021-12-01,0.82,0.77,1093,-1442
}quality,:400,North America,,", {-,2}00:: time54id:0000end,-1id7_9",2020-07-28,2021-12-01,0.87,0.77,1350,-1442
:,", ",Europe,",, ", ,2021-01-22,2021-12-01,0.82,0.88,795,-1442
: ,1-o2name3{acountry{,Europe,", ",:suppliername,2019-05-22,2021-12-01,0.82,0.85,1022,-1442
:,: ,Europe,", ",00,2018-06-21,2021-12-01,0.88,0.82,879,-1442
: ,00: ,North America,", ", ,2019-09-30,2021-12-01,0.83,0.87,544,-1442
onquality,,Asia Pacific,", ",supplier.,2018-05-10,2021-12-01,0.85,0.79,708,-1442
name,countrydata ,Latin America,: ,on__delivery,2020-09-03,2021-12-01,0.88,0.84,1423,-1442
: 0}orders,: ,North America,contract:00,total_,2019-02-22,2021-12-01,0.91,0.88,862,-1442
_,"country_a__-, ",Asia Pacific,", ",delivery ,2020-07-02,2021-12-01,0.93,0.84,783,-1442
: ,"supplier, ",Asia Pacific,country_name: ,s,2020-07-14,2021-12-01,0.84,0.86,1558,-1442
: ,"region}-4aemail, ",Europe,{_,: ,2018-09-01,2021-12-01,0.87,0.77,1847,-1442
00: ,,North America,,,2020-03-16,2021-12-01,0.82,0.86,1239,-1442
: ,T00e,North America,: ,: ,2018-05-10,2021-12-01,0.92,0.88,822,-1442
.qualitydelivery},: ,North America,on00,.T00sid,2019-07-18,2021-12-01,0.86,0.84,2115,-1442
"qualitystart_apregion,_-_.",e,Europe,,A} ,2019-06-19,2021-12-01,0.93,0.88,1349,-1442
: ,: ,Middle East & Africa,quality,": -00, ",2018-12-14,2021-12-01,0.9,0.88,2067,-1442
: {orders,":8, T00l9supplierstarteadelivery",North America,: ,contract_nameid,2020-03-03,2021-12-01,0.88,0.87,2167,-1442
"59equality,_start",supplier_delivery__@,Europe,: ,", ",2018-07-14,2021-12-01,0.93,0.87,762,-1442
: contractcontract},":, ",Europe,quality__contact},onSUP_1endcontact,2020-07-22,2021-12-01,0.82,0.81,1341,-1442
", ",:i,Asia Pacific,", ",,2021-05-05,2021-12-01,0.82,0.79,1016,-1442
: ,,Europe, ,totaltime_,2021-07-22,2021-12-01,0.93,0.85,3119,-1442
supplierscorerate, ,Europe,supplier_00-supplier.region_SUP@,: ,2018-12-12,2021-12-01,0.82,0.87,1018,-1442
:supplied,_end,Middle East & Africa, ,",, ",2020-02-03,2021-12-01,0.82,0.77,2120,-1442
-contractrate:00__quality00--end9,", ",Asia Pacific,,: ,2020-03-30,2021-12-01,0.82,0.84,557,-1442
supplier_,_name_-,Middle East & Africa,"-rate_region_start, ",:acontact_2 ,2021-07-22,2021-12-01,0.87,0.88,1590,-1442
",supplier_.{_:id",8_,Latin America,7{__.0l,00::id_total2,2021-07-22,2021-12-01,0.82,0.77,3118,-1442
contract,,Europe,",s",",",2021-05-20,2021-12-01,0.84,0.88,639,-1442
", ",,Europe,", ",:email4{,2018-12-22,2021-12-01,0.93,0.78,2100,-1442
:supplied: ,4end,Latin America,: ,}8 ,2021-02-28,2021-12-01,0.86,0.85,765,-1442
", ",SUP__score:supplierp_scoreo0,Europe,contractregion,startea,2018-05-30,2021-12-01,0.82,0.84,959,-1442
contract,-.orders7email,Asia Pacific,contract:,9supplier8_time_scoreT00T00: ,2021-07-22,2021-12-01,0.88,0.78,688,-1442
 0,l,North America,:data,", ",2019-06-22,2021-12-01,0.93,0.83,3112,-1442
", ", ,North America,sa ,4,2018-05-10,2021-12-01,0.86,0.83,887,-1442
202quality: ,,Middle East & Africa,: endqualityscore2_email,", ",2019-01-10,2021-12-01,0.87,0.85,2791,-1442
00delivery-7start,: ,Europe, { 02,", ",2021-07-22,2021-12-01,0.82,0.8,1877,-1442
region,,Latin America,country{,ncountry 0a00,2019-01-16,2021-12-01,0.82,0.79,1930,-1442
,:T0000,North America,_end__contact{delivery-00:7,00,2021-04-05,2021-12-01,0.82,0.77,1409,-1442
: ,"contract:, ",Europe,total supplier_{,supplier,2020-02-26,2021-12-01,0.89,0.84,3101,-1442
_-on.6n-1,:_,Latin America,_ _,", ",2020-05-17,2021-12-01,0.93,0.84,763,-1442
"id-,1,0{id:suppliedend3contacttotal4_4id84, ",00emailsscountryscore,Asia Pacific,,__esscore-,2019-02-15,2021-12-01,0.88,0.88,1306,-1442
,"quality9supplier,start-_1id4onendon00",Europe,", ",_.9: ,2019-11-21,2021-12-01,0.84,0.82,914,-1442
