customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score_str,RFM_score,segment
CUST-50060,44,5,9473.44,3,3,3,333,9,Potential
CUST-50061,15,7,15453.320000000002,5,4,4,544,13,Champions
CUST-50062,2,6,7935.9,5,4,3,543,12,Loyal
CUST-50063,140,6,15236.56,1,4,4,144,9,Potential
CUST-50064,12,5,6231.09,5,3,2,532,10,Loyal
CUST-50065,8,7,23012.56,5,4,5,545,14,Champions
CUST-50066,47,5,40200.630000000005,3,3,5,335,11,Loyal
CUST-50067,207,4,6957.38,1,2,2,122,5,At Risk
CUST-50068,101,1,40375.56,2,1,5,215,8,Potential
CUST-50069,8,5,4444.61,5,3,2,532,10,Loyal
CUST-50070,3,6,9811.23,5,4,3,543,12,Loyal
CUST-50071,33,7,11597.849999999999,4,4,3,443,11,Loyal
CUST-50072,111,4,8821.61,2,2,3,223,7,Potential
CUST-50073,270,2,3798.27,1,1,1,111,3,Lost
CUST-50074,149,4,8733.24,1,2,3,123,6,At Risk
CUST-50075,56,4,3784.61,3,2,1,321,6,At Risk
CUST-50076,42,6,8451.16,3,4,3,343,10,Loyal
CUST-50077,37,7,6040.19,4,4,2,442,10,Loyal
CUST-50078,10,8,32755.460000000003,5,5,5,555,15,Champions
CUST-50079,33,5,4950.45,4,3,2,432,9,Potential
CUST-50080,8,5,5122.56,5,3,2,532,10,Loyal
CUST-50081,55,8,17483.53,3,5,4,354,12,Loyal
CUST-50082,246,2,5080.02,1,1,2,112,4,Lost
CUST-50083,8,10,10812.44,5,5,3,553,13,Champions
CUST-50084,148,4,4665.23,1,2,2,122,5,At Risk
CUST-50085,90,4,1623.08,2,2,1,221,5,At Risk
CUST-50086,46,3,12385.220000000001,3,1,4,314,8,Potential
CUST-50087,37,5,8988.67,4,3,3,433,10,Loyal
CUST-50088,133,4,14310.55,1,2,4,124,7,Potential
CUST-50089,272,4,3661.19,1,2,1,121,4,Lost
CUST-50090,60,2,7429.0,3,1,2,312,6,At Risk
CUST-50091,39,9,9837.439999999999,3,5,3,353,11,Loyal
CUST-50092,240,4,12872.08,1,2,4,124,7,Potential
CUST-50093,94,3,10420.99,2,1,3,213,6,At Risk
CUST-50094,56,6,8421.13,3,4,3,343,10,Loyal
CUST-50095,87,4,4711.86,2,2,2,222,6,At Risk
CUST-50096,76,5,7911.49,2,3,3,233,8,Potential
CUST-50097,23,4,4667.88,4,2,2,422,8,Potential
CUST-50098,111,5,9298.76,2,3,3,233,8,Potential
CUST-50099,19,4,8183.85,4,2,3,423,9,Potential
CUST-50100,151,1,1115.18,1,1,1,111,3,Lost
CUST-50101,11,6,4449.54,5,4,2,542,11,Loyal
CUST-50102,30,4,5488.92,4,2,2,422,8,Potential
CUST-50103,3,7,24251.34,5,4,5,545,14,Champions
CUST-50104,87,7,10765.960000000001,2,4,3,243,9,Potential
CUST-50105,166,2,1185.74,1,1,1,111,3,Lost
CUST-50106,230,5,9454.34,1,3,3,133,7,Potential
CUST-50107,93,3,21244.56,2,1,5,215,8,Potential
CUST-50108,8,8,24759.0,5,5,5,555,15,Champions
CUST-50109,106,6,4892.96,2,4,2,242,8,Potential
CUST-50110,39,6,7292.9800000000005,3,4,2,342,9,Potential
CUST-50111,7,6,1207.65,5,4,1,541,10,Loyal
CUST-50112,62,5,18526.559999999998,3,3,4,334,10,Loyal
CUST-50113,51,6,41056.81,3,4,5,345,12,Loyal
CUST-50114,22,7,12868.06,4,4,4,444,12,Loyal
CUST-50115,84,6,2438.81,2,4,1,241,7,Potential
CUST-50116,22,5,13334.65,4,3,4,434,11,Loyal
CUST-50117,108,4,8131.77,2,2,3,223,7,Potential
CUST-50118,5,9,9206.32,5,5,3,553,13,Champions
CUST-50119,98,8,13052.56,2,5,4,254,11,Loyal
CUST-50120,49,4,18302.78,3,2,4,324,9,Potential
CUST-50121,8,7,7341.0599999999995,5,4,2,542,11,Loyal
CUST-50122,14,6,17642.84,5,4,4,544,13,Champions
CUST-50123,14,3,3488.54,5,1,1,511,7,Potential
CUST-50124,340,1,919.14,1,1,1,111,3,Lost
CUST-50125,1,3,15136.79,5,1,4,514,10,Loyal
CUST-50126,68,8,11171.15,3,5,3,353,11,Loyal
CUST-50127,123,4,20883.53,1,2,5,125,8,Potential
CUST-50128,60,7,25467.06,3,4,5,345,12,Loyal
CUST-50129,105,3,8804.6,2,1,3,213,6,At Risk
CUST-50130,4,8,16505.38,5,5,4,554,14,Champions
CUST-50131,175,4,4908.8,1,2,2,122,5,At Risk
CUST-50132,110,3,5368.070000000001,2,1,2,212,5,At Risk
CUST-50133,10,5,8543.130000000001,5,3,3,533,11,Loyal
CUST-50134,27,5,3088.02,4,3,1,431,8,Potential
CUST-50135,41,7,18761.15,3,4,4,344,11,Loyal
CUST-50136,202,5,28457.7,1,3,5,135,9,Potential
CUST-50137,151,7,24720.170000000002,1,4,5,145,10,Loyal
CUST-50138,30,4,1708.42,4,2,1,421,7,Potential
CUST-50139,80,3,4762.93,2,1,2,212,5,At Risk
CUST-50140,19,7,7789.58,4,4,3,443,11,Loyal
CUST-50141,64,4,11862.53,3,2,3,323,8,Potential
CUST-50142,18,5,9113.17,4,3,3,433,10,Loyal
CUST-50143,41,3,1519.8899999999999,3,1,1,311,5,At Risk
CUST-50144,65,4,13706.89,3,2,4,324,9,Potential
CUST-50145,322,2,2329.29,1,1,1,111,3,Lost
CUST-50146,102,10,28302.5,2,5,5,255,12,Loyal
CUST-50147,48,5,11080.23,3,3,3,333,9,Potential
CUST-50148,23,4,6386.6,4,2,2,422,8,Potential
CUST-50149,69,6,37929.44,2,4,5,245,11,Loyal
CUST-50150,65,6,15884.880000000001,3,4,4,344,11,Loyal
CUST-50151,28,8,36104.9,4,5,5,455,14,Champions
CUST-50152,5,5,10591.69,5,3,3,533,11,Loyal
CUST-50153,45,6,5476.09,3,4,2,342,9,Potential
CUST-50154,8,7,22732.72,5,4,5,545,14,Champions
CUST-50155,52,5,4102.84,3,3,2,332,8,Potential
CUST-50156,16,4,31309.23,5,2,5,525,12,Loyal
CUST-50157,47,7,14130.539999999999,3,4,4,344,11,Loyal
CUST-50158,33,3,3280.21,4,1,1,411,6,At Risk
CUST-50159,28,6,48791.4,4,4,5,445,13,Champions
CUST-50160,134,8,17444.15,1,5,4,154,10,Loyal
CUST-50161,45,5,6630.58,3,3,2,332,8,Potential
CUST-50162,65,4,7829.6,3,2,3,323,8,Potential
CUST-50163,44,6,3210.35,3,4,1,341,8,Potential
CUST-50164,26,6,5530.29,4,4,2,442,10,Loyal
CUST-50165,33,4,12550.99,4,2,4,424,10,Loyal
CUST-50166,6,3,13635.160000000002,5,1,4,514,10,Loyal
CUST-50167,19,3,2713.9300000000003,4,1,1,411,6,At Risk
CUST-50168,60,5,5650.99,3,3,2,332,8,Potential
CUST-50169,46,6,17503.899999999998,3,4,4,344,11,Loyal
CUST-50170,82,6,13136.88,2,4,4,244,10,Loyal
CUST-50171,51,6,7849.29,3,4,3,343,10,Loyal
CUST-50172,5,8,9997.460000000001,5,5,3,553,13,Champions
CUST-50173,277,2,673.98,1,1,1,111,3,Lost
CUST-50174,7,8,12579.78,5,5,4,554,14,Champions
CUST-50175,4,4,6296.52,5,2,2,522,9,Potential
CUST-50176,167,9,17720.11,1,5,4,154,10,Loyal
CUST-50177,255,2,850.0699999999999,1,1,1,111,3,Lost
CUST-50178,203,1,1350.37,1,1,1,111,3,Lost
CUST-50179,8,6,10953.970000000001,5,4,3,543,12,Loyal
CUST-50180,24,5,5526.02,4,3,2,432,9,Potential
CUST-50181,17,6,10727.02,5,4,3,543,12,Loyal
CUST-50182,105,5,16001.23,2,3,4,234,9,Potential
CUST-50183,23,5,3147.52,4,3,1,431,8,Potential
CUST-50184,274,4,6273.669999999999,1,2,2,122,5,At Risk
CUST-50185,83,6,13090.36,2,4,4,244,10,Loyal
CUST-50186,12,5,11093.27,5,3,3,533,11,Loyal
CUST-50187,163,4,13691.88,1,2,4,124,7,Potential
CUST-50188,101,8,15890.98,2,5,4,254,11,Loyal
CUST-50189,39,7,27441.89,3,4,5,345,12,Loyal
CUST-50190,10,7,21043.74,5,4,5,545,14,Champions
CUST-50191,49,5,7037.75,3,3,2,332,8,Potential
CUST-50192,9,7,23834.41,5,4,5,545,14,Champions
CUST-50193,10,7,11043.53,5,4,3,543,12,Loyal
CUST-50194,95,5,14689.27,2,3,4,234,9,Potential
CUST-50195,21,4,27169.73,4,2,5,425,11,Loyal
CUST-50196,23,7,64072.939999999995,4,4,5,445,13,Champions
CUST-50197,135,4,21585.04,1,2,5,125,8,Potential
CUST-50198,79,9,22026.57,2,5,5,255,12,Loyal
CUST-50199,57,4,9420.49,3,2,3,323,8,Potential
CUST-50200,166,2,10556.22,1,1,3,113,5,At Risk
CUST-50201,120,6,21363.32,1,4,5,145,10,Loyal
CUST-50202,1,6,10532.07,5,4,3,543,12,Loyal
CUST-50203,70,4,11614.1,2,2,3,223,7,Potential
CUST-50204,201,3,1798.56,1,1,1,111,3,Lost
CUST-50205,187,1,110.91,1,1,1,111,3,Lost
CUST-50206,47,7,41269.32,3,4,5,345,12,Loyal
CUST-50207,24,2,27673.43,4,1,5,415,10,Loyal
CUST-50208,84,9,16675.58,2,5,4,254,11,Loyal
CUST-50209,2,4,15876.189999999999,5,2,4,524,11,Loyal
CUST-50210,144,3,770.81,1,1,1,111,3,Lost
CUST-50211,30,3,2760.4700000000003,4,1,1,411,6,At Risk
CUST-50212,33,4,7853.53,4,2,3,423,9,Potential
CUST-50213,19,4,4273.349999999999,4,2,2,422,8,Potential
CUST-50214,211,2,6306.639999999999,1,1,2,112,4,Lost
CUST-50215,86,4,15005.779999999999,2,2,4,224,8,Potential
CUST-50216,105,2,3092.8,2,1,1,211,4,Lost
CUST-50217,51,5,5116.29,3,3,2,332,8,Potential
CUST-50218,44,4,5495.4800000000005,3,2,2,322,7,Potential
CUST-50219,110,3,2328.39,2,1,1,211,4,Lost
CUST-50220,108,4,3191.21,2,2,1,221,5,At Risk
CUST-50221,11,8,15078.189999999999,5,5,4,554,14,Champions
CUST-50222,62,4,8523.550000000001,3,2,3,323,8,Potential
CUST-50223,119,6,4130.46,1,4,2,142,7,Potential
CUST-50224,14,7,20122.66,5,4,5,545,14,Champions
CUST-50225,62,7,23426.82,3,4,5,345,12,Loyal
CUST-50226,14,5,13089.74,5,3,4,534,12,Loyal
CUST-50227,72,4,7707.51,2,2,3,223,7,Potential
CUST-50228,115,3,4267.28,2,1,2,212,5,At Risk
CUST-50229,4,4,4511.42,5,2,2,522,9,Potential
CUST-50230,34,15,50228.85,4,5,5,455,14,Champions
CUST-50231,7,9,39275.72,5,5,5,555,15,Champions
CUST-50232,14,6,20466.89,5,4,5,545,14,Champions
CUST-50233,283,2,9760.24,1,1,3,113,5,At Risk
CUST-50234,54,3,7048.77,3,1,2,312,6,At Risk
CUST-50235,156,4,12693.94,1,2,4,124,7,Potential
CUST-50236,207,2,1115.17,1,1,1,111,3,Lost
CUST-50237,123,5,2121.5,1,3,1,131,5,At Risk
CUST-50238,138,5,15505.81,1,3,4,134,8,Potential
CUST-50239,42,9,13110.82,3,5,4,354,12,Loyal
CUST-50240,79,8,8999.509999999998,2,5,3,253,10,Loyal
CUST-50241,41,4,1950.2,3,2,1,321,6,At Risk
CUST-50242,14,2,629.13,5,1,1,511,7,Potential
CUST-50243,157,3,2089.94,1,1,1,111,3,Lost
CUST-50244,21,5,9287.710000000001,4,3,3,433,10,Loyal
CUST-50245,151,1,110.02,1,1,1,111,3,Lost
CUST-50246,9,5,6340.81,5,3,2,532,10,Loyal
CUST-50247,15,6,5256.58,5,4,2,542,11,Loyal
CUST-50248,59,2,697.25,3,1,1,311,5,At Risk
CUST-50249,41,8,9646.03,3,5,3,353,11,Loyal
CUST-50250,12,10,14838.53,5,5,4,554,14,Champions
CUST-50251,98,8,17684.739999999998,2,5,4,254,11,Loyal
CUST-50252,65,6,14970.26,3,4,4,344,11,Loyal
CUST-50253,14,4,16059.98,5,2,4,524,11,Loyal
CUST-50254,31,6,7582.14,4,4,3,443,11,Loyal
CUST-50255,105,6,21449.140000000003,2,4,5,245,11,Loyal
CUST-50256,31,4,1313.2,4,2,1,421,7,Potential
CUST-50257,48,4,32571.85,3,2,5,325,10,Loyal
CUST-50258,170,3,1719.8400000000001,1,1,1,111,3,Lost
CUST-50259,113,4,2165.23,2,2,1,221,5,At Risk
CUST-50260,1,7,2747.1800000000003,5,4,1,541,10,Loyal
CUST-50261,19,9,4935.88,4,5,2,452,11,Loyal
CUST-50262,113,4,3238.44,2,2,1,221,5,At Risk
CUST-50263,201,4,11499.9,1,2,3,123,6,At Risk
CUST-50264,31,5,2761.1400000000003,4,3,1,431,8,Potential
CUST-50265,74,6,6205.6,2,4,2,242,8,Potential
CUST-50266,1,7,27618.52,5,4,5,545,14,Champions
CUST-50267,119,5,28911.34,1,3,5,135,9,Potential
CUST-50268,81,4,5114.25,2,2,2,222,6,At Risk
CUST-50269,47,3,18283.72,3,1,4,314,8,Potential
CUST-50270,5,6,18359.93,5,4,4,544,13,Champions
CUST-50271,173,7,14901.14,1,4,4,144,9,Potential
CUST-50272,99,7,14500.58,2,4,4,244,10,Loyal
CUST-50273,41,6,3284.4700000000003,3,4,1,341,8,Potential
CUST-50274,163,4,7416.839999999999,1,2,2,122,5,At Risk
CUST-50275,31,4,4272.4400000000005,4,2,2,422,8,Potential
CUST-50276,225,3,1831.35,1,1,1,111,3,Lost
CUST-50277,88,4,3165.28,2,2,1,221,5,At Risk
CUST-50278,37,9,31890.85,4,5,5,455,14,Champions
CUST-50279,193,4,3426.51,1,2,1,121,4,Lost
CUST-50280,41,7,11281.27,3,4,3,343,10,Loyal
CUST-50281,46,1,1547.49,3,1,1,311,5,At Risk
CUST-50282,208,2,2796.88,1,1,1,111,3,Lost
CUST-50283,79,8,16958.21,2,5,4,254,11,Loyal
CUST-50284,223,1,1418.35,1,1,1,111,3,Lost
CUST-50285,5,4,16076.17,5,2,4,524,11,Loyal
CUST-50286,16,8,21185.11,5,5,5,555,15,Champions
CUST-50287,3,4,625.3199999999999,5,2,1,521,8,Potential
CUST-50288,45,5,5680.459999999999,3,3,2,332,8,Potential
CUST-50289,106,4,5388.21,2,2,2,222,6,At Risk
CUST-50290,99,7,30389.190000000002,2,4,5,245,11,Loyal
CUST-50291,129,4,9557.130000000001,1,2,3,123,6,At Risk
CUST-50292,29,6,21533.55,4,4,5,445,13,Champions
CUST-50293,331,3,2922.35,1,1,1,111,3,Lost
CUST-50294,86,5,5791.25,2,3,2,232,7,Potential
CUST-50295,148,8,23143.69,1,5,5,155,11,Loyal
CUST-50296,11,7,4305.56,5,4,2,542,11,Loyal
CUST-50297,16,6,26030.25,5,4,5,545,14,Champions
CUST-50298,236,1,596.75,1,1,1,111,3,Lost
CUST-50299,26,10,17718.21,4,5,4,454,13,Champions
CUST-50300,250,1,1474.43,1,1,1,111,3,Lost
CUST-50301,31,6,5362.22,4,4,2,442,10,Loyal
CUST-50302,17,5,30738.43,5,3,5,535,13,Champions
CUST-50303,3,5,15499.05,5,3,4,534,12,Loyal
CUST-50304,28,5,34119.729999999996,4,3,5,435,12,Loyal
CUST-50305,74,6,19830.95,2,4,5,245,11,Loyal
CUST-50306,60,6,5172.04,3,4,2,342,9,Potential
CUST-50307,19,6,11183.71,4,4,3,443,11,Loyal
CUST-50308,96,6,20193.9,2,4,5,245,11,Loyal
CUST-50309,44,3,5172.15,3,1,2,312,6,At Risk
CUST-50310,2,10,46632.26,5,5,5,555,15,Champions
CUST-50311,7,5,7891.66,5,3,3,533,11,Loyal
CUST-50312,153,3,2411.68,1,1,1,111,3,Lost
CUST-50313,82,4,9130.56,2,2,3,223,7,Potential
CUST-50314,1,3,3206.68,5,1,1,511,7,Potential
CUST-50315,163,2,11715.529999999999,1,1,3,113,5,At Risk
CUST-50316,94,7,21582.13,2,4,5,245,11,Loyal
CUST-50317,69,7,21108.2,2,4,5,245,11,Loyal
CUST-50318,19,7,43316.53,4,4,5,445,13,Champions
CUST-50319,64,3,5779.0,3,1,2,312,6,At Risk
CUST-50320,112,4,19387.23,2,2,5,225,9,Potential
CUST-50321,127,2,864.9200000000001,1,1,1,111,3,Lost
CUST-50322,29,4,3257.77,4,2,1,421,7,Potential
CUST-50323,37,4,4375.29,4,2,2,422,8,Potential
CUST-50324,16,2,5700.09,5,1,2,512,8,Potential
CUST-50325,33,6,6476.84,4,4,2,442,10,Loyal
CUST-50326,84,4,1470.33,2,2,1,221,5,At Risk
CUST-50327,18,5,22739.019999999997,4,3,5,435,12,Loyal
CUST-50328,78,5,2353.98,2,3,1,231,6,At Risk
CUST-50329,5,6,28043.93,5,4,5,545,14,Champions
CUST-50330,1,5,11747.55,5,3,3,533,11,Loyal
CUST-50331,7,5,7686.799999999999,5,3,3,533,11,Loyal
CUST-50332,98,4,3763.96,2,2,1,221,5,At Risk
CUST-50333,93,8,12823.880000000001,2,5,4,254,11,Loyal
CUST-50334,279,1,1485.85,1,1,1,111,3,Lost
CUST-50335,107,4,2311.05,2,2,1,221,5,At Risk
CUST-50336,171,3,8348.12,1,1,3,113,5,At Risk
CUST-50337,78,7,24380.95,2,4,5,245,11,Loyal
CUST-50338,108,5,6579.379999999999,2,3,2,232,7,Potential
CUST-50339,19,6,13727.289999999999,4,4,4,444,12,Loyal
CUST-50340,34,6,7765.88,4,4,3,443,11,Loyal
CUST-50341,37,4,4054.61,4,2,2,422,8,Potential
CUST-50342,27,4,5813.73,4,2,2,422,8,Potential
CUST-50343,6,4,6789.63,5,2,2,522,9,Potential
CUST-50344,182,4,3725.1499999999996,1,2,1,121,4,Lost
CUST-50345,20,6,11832.08,4,4,3,443,11,Loyal
CUST-50346,61,5,12803.0,3,3,4,334,10,Loyal
CUST-50347,37,6,6575.31,4,4,2,442,10,Loyal
CUST-50349,81,5,6559.679999999999,2,3,2,232,7,Potential
CUST-50350,149,2,2159.8599999999997,1,1,1,111,3,Lost
CUST-50351,13,2,15861.82,5,1,4,514,10,Loyal
CUST-50352,142,3,4173.81,1,1,2,112,4,Lost
CUST-50353,105,2,28173.25,2,1,5,215,8,Potential
CUST-50354,66,2,6763.77,3,1,2,312,6,At Risk
CUST-50355,85,2,3259.6000000000004,2,1,1,211,4,Lost
CUST-50356,69,9,13064.49,2,5,4,254,11,Loyal
CUST-50357,59,2,1480.77,3,1,1,311,5,At Risk
CUST-50358,61,4,14182.9,3,2,4,324,9,Potential
CUST-50359,94,3,6052.4400000000005,2,1,2,212,5,At Risk
CUST-50360,119,6,14226.009999999998,1,4,4,144,9,Potential
CUST-50361,15,6,4438.33,5,4,2,542,11,Loyal
CUST-50362,22,1,1649.25,4,1,1,411,6,At Risk
CUST-50363,67,6,3823.53,3,4,1,341,8,Potential
CUST-50364,207,4,2332.27,1,2,1,121,4,Lost
CUST-50365,80,3,443.94000000000005,2,1,1,211,4,Lost
CUST-50366,25,6,6934.7300000000005,4,4,2,442,10,Loyal
CUST-50367,31,3,7913.73,4,1,3,413,8,Potential
CUST-50368,40,4,6463.45,3,2,2,322,7,Potential
CUST-50369,2,7,28858.82,5,4,5,545,14,Champions
CUST-50370,63,8,16972.649999999998,3,5,4,354,12,Loyal
CUST-50371,60,5,4706.7,3,3,2,332,8,Potential
CUST-50372,27,4,34495.29,4,2,5,425,11,Loyal
CUST-50373,85,1,1618.73,2,1,1,211,4,Lost
CUST-50374,2,4,24654.59,5,2,5,525,12,Loyal
CUST-50375,54,4,23997.85,3,2,5,325,10,Loyal
CUST-50376,1,5,5113.16,5,3,2,532,10,Loyal
CUST-50377,144,2,4878.4,1,1,2,112,4,Lost
CUST-50378,10,8,20510.64,5,5,5,555,15,Champions
CUST-50379,45,6,2598.93,3,4,1,341,8,Potential
CUST-50380,37,3,14499.85,4,1,4,414,9,Potential
CUST-50381,127,7,31889.04,1,4,5,145,10,Loyal
CUST-50382,146,3,6398.54,1,1,2,112,4,Lost
CUST-50383,61,2,1312.1100000000001,3,1,1,311,5,At Risk
CUST-50384,20,3,8149.56,4,1,3,413,8,Potential
CUST-50385,19,4,9947.1,4,2,3,423,9,Potential
CUST-50386,20,6,19835.59,4,4,5,445,13,Champions
CUST-50387,35,5,16165.16,4,3,4,434,11,Loyal
CUST-50388,94,2,3866.45,2,1,1,211,4,Lost
CUST-50389,39,6,1912.41,3,4,1,341,8,Potential
CUST-50390,10,5,6081.7699999999995,5,3,2,532,10,Loyal
CUST-50391,13,8,14854.47,5,5,4,554,14,Champions
CUST-50392,193,1,101.56,1,1,1,111,3,Lost
CUST-50393,7,5,10081.98,5,3,3,533,11,Loyal
CUST-50394,124,4,3369.4,1,2,1,121,4,Lost
CUST-50396,11,9,33177.79,5,5,5,555,15,Champions
CUST-50397,28,11,27325.379999999997,4,5,5,455,14,Champions
CUST-50398,87,6,13191.23,2,4,4,244,10,Loyal
CUST-50399,16,5,13805.61,5,3,4,534,12,Loyal
CUST-50400,87,5,3224.08,2,3,1,231,6,At Risk
CUST-50401,12,7,11563.12,5,4,3,543,12,Loyal
CUST-50402,34,5,26989.3,4,3,5,435,12,Loyal
CUST-50403,175,4,13047.39,1,2,4,124,7,Potential
CUST-50404,20,6,10719.07,4,4,3,443,11,Loyal
CUST-50405,30,5,14470.82,4,3,4,434,11,Loyal
CUST-50407,274,2,1442.26,1,1,1,111,3,Lost
CUST-50408,38,11,51838.48,4,5,5,455,14,Champions
CUST-50409,20,4,5297.9400000000005,4,2,2,422,8,Potential
CUST-50410,24,8,17296.18,4,5,4,454,13,Champions
CUST-50411,263,1,2419.74,1,1,1,111,3,Lost
CUST-50412,102,5,16989.600000000002,2,3,4,234,9,Potential
CUST-50413,5,5,12986.91,5,3,4,534,12,Loyal
CUST-50414,157,4,4964.59,1,2,2,122,5,At Risk
CUST-50415,5,4,6242.37,5,2,2,522,9,Potential
CUST-50416,124,6,22371.21,1,4,5,145,10,Loyal
CUST-50417,12,3,17033.5,5,1,4,514,10,Loyal
CUST-50418,35,5,3859.4700000000003,4,3,1,431,8,Potential
CUST-50419,2,13,37159.22,5,5,5,555,15,Champions
CUST-50420,50,5,12724.99,3,3,4,334,10,Loyal
CUST-50421,39,6,19444.57,3,4,5,345,12,Loyal
CUST-50422,63,6,19314.76,3,4,5,345,12,Loyal
CUST-50423,227,2,713.98,1,1,1,111,3,Lost
CUST-50424,100,4,7741.82,2,2,3,223,7,Potential
CUST-50425,7,3,12182.619999999999,5,1,4,514,10,Loyal
CUST-50426,33,5,35124.02,4,3,5,435,12,Loyal
CUST-50427,15,7,22039.579999999998,5,4,5,545,14,Champions
CUST-50428,19,5,12886.61,4,3,4,434,11,Loyal
CUST-50429,145,5,6966.2699999999995,1,3,2,132,6,At Risk
CUST-50430,226,3,12762.35,1,1,4,114,6,At Risk
CUST-50431,39,2,1133.47,3,1,1,311,5,At Risk
CUST-50432,80,1,630.18,2,1,1,211,4,Lost
CUST-50433,62,7,15368.89,3,4,4,344,11,Loyal
CUST-50434,176,5,10999.539999999999,1,3,3,133,7,Potential
CUST-50435,5,6,24635.739999999998,5,4,5,545,14,Champions
CUST-50436,54,5,5562.78,3,3,2,332,8,Potential
CUST-50437,32,7,16127.07,4,4,4,444,12,Loyal
CUST-50438,107,3,2644.28,2,1,1,211,4,Lost
CUST-50439,72,9,11320.01,2,5,3,253,10,Loyal
CUST-50440,38,4,4138.16,4,2,2,422,8,Potential
CUST-50441,14,5,11396.55,5,3,3,533,11,Loyal
CUST-50442,73,7,17572.35,2,4,4,244,10,Loyal
CUST-50443,135,2,6398.35,1,1,2,112,4,Lost
CUST-50444,9,10,28040.12,5,5,5,555,15,Champions
CUST-50445,22,4,3710.3599999999997,4,2,1,421,7,Potential
CUST-50446,26,5,11610.130000000001,4,3,3,433,10,Loyal
CUST-50447,116,4,48128.32,2,2,5,225,9,Potential
CUST-50448,9,3,686.5699999999999,5,1,1,511,7,Potential
CUST-50449,17,4,19433.350000000002,5,2,5,525,12,Loyal
CUST-50450,183,4,1235.51,1,2,1,121,4,Lost
