product_id,product_name,product_category,brand,launch_date,price,cost,supplier_id,stock_quantity,rating,warranty_period,profit_margin,age_days,profit_segment
PROD-EK547,Smart TV Elite 402,Electronics,Canon,2020-03-17,1581.07,1224.67,SUP00173,69,4.1,31,22.54,2066,Below Avg
PROD-LM763,Eco Vacuum Plus 131,Home & Garden,Cuisinart,2016-10-27,341.68,229.58,SUP00192,315,4.7,18,32.81,3303,Below Avg
PROD-PX796,Pro Camera Pro 313,Electronics,Nikon,2019-10-24,337.8,250.69,SUP00451,1418,4.3,18,25.79,2211,Below Avg
PROD-FY959,Premium Sneakers X 487,Apparel,Levi's,2024-04-04,60.33,36.61,SUP00195,614,4.1,6,39.32,587,Below Avg
PROD-SG745,Regular Sweater X 869,Apparel,Uniqlo,2016-01-06,123.82,93.77,SUP00034,309,4.1,1,24.27,3598,Below Avg
PROD-RA538,Pro Router Edition 180,Electronics,Canon,2021-05-17,924.08,699.45,SUP00091,379,4.0,14,24.31,1640,Below Avg
PROD-GK812,4K Laptop Max 995,Electronics,Nikon,2021-07-04,1128.16,680.7,SUP00293,839,4.8,16,39.66,1592,Below Avg
PROD-WB215,Eco Heater Edition 431,Home & Garden,Bosch,2024-06-17,137.72,116.29,SUP00316,953,2.9,24,15.56,513,Low
PROD-EH297,Digital Smartphone Elite 696,Electronics,LG,2016-11-23,1578.85,1313.88,SUP00319,1073,4.7,18,16.78,3276,Low
PROD-FV895,Practical Philosophy,Books,Macmillan,2021-09-05,31.8,26.78,SUP00328,298,3.7,0,15.79,1529,Low
PROD-FD892,Pro Helmet Edition 450,Sports,Yonex,2023-12-07,560.78,447.31,SUP00258,183,3.6,9,20.23,706,Below Avg
PROD-YV590,Classic Sweater Series 946,Apparel,Zara,2023-08-04,279.99,203.62,SUP00429,413,4.0,5,27.28,831,Below Avg
PROD-RI626,Professional Heater Series 313,Home & Garden,KitchenAid,2015-12-10,414.12,284.17,SUP00219,494,4.7,23,31.38,3625,Below Avg
PROD-ZX972,Heavy Duty Vacuum Edition 877,Home & Garden,Bosch,2017-08-03,278.26,175.19,SUP00307,331,4.2,11,37.04,3023,Below Avg
PROD-SZ830,Modern Bed Max 925,Furniture,Pottery Barn,2024-01-02,1732.57,1425.45,SUP00045,374,4.1,19,17.73,680,Low
PROD-MC445,Compact Lawn Mower X 919,Home & Garden,Miracle-Gro,2023-02-11,275.49,204.6,SUP00004,340,4.5,18,25.73,1005,Below Avg
PROD-XN392,A Guide to Science,Books,Wiley,2020-02-29,60.0,44.12,SUP00038,1007,3.8,0,26.47,2083,Below Avg
PROD-WL920,Competition Golf Club Series 169,Sports,Decathlon,2019-09-17,800.0,604.21,SUP00023,473,4.2,3,24.47,2248,Below Avg
PROD-HZ851,Essential Travel,Books,Scholastic,2024-10-06,13.43,9.9,SUP00137,13,4.0,0,26.28,402,Below Avg
PROD-JZ795,Pro Helmet Elite 851,Sports,Yonex,2018-05-31,397.93,260.22,SUP00366,530,4.2,12,34.61,2722,Below Avg
PROD-QV567,Deluxe Coffee Maker Edition 300,Home & Garden,Bosch,2019-01-16,178.81,134.58,SUP00436,232,4.2,21,24.74,2492,Below Avg
PROD-AX769,Luxury Cabinet X 527,Furniture,West Elm,2024-03-07,1289.22,791.8,SUP00207,870,4.1,21,38.58,615,Below Avg
PROD-UP977,Luxury Bookshelf Max 533,Furniture,Crate & Barrel,2024-11-15,938.02,790.22,SUP00382,353,4.9,12,15.76,362,Low
PROD-MQ213,Indoor Tennis Racket Plus 779,Sports,Decathlon,2020-03-26,369.9,235.49,SUP00237,234,4.6,10,36.34,2057,Below Avg
PROD-KL704,Practical Science,Books,Hachette,2024-01-10,29.72,22.67,SUP00040,30,4.6,0,23.72,672,Below Avg
PROD-GZ782,Smart Monitor Pro 952,Electronics,HP,2020-01-12,351.32,230.04,SUP00328,71,3.9,33,34.52,2131,Below Avg
PROD-IF573,Performance Tennis Racket X 936,Sports,Wilson,2016-07-15,800.0,490.94,SUP00477,436,4.3,7,38.63,3407,Below Avg
PROD-TS288,Pro Yoga Mat Max 526,Sports,Adidas,2023-09-26,384.86,269.33,SUP00300,225,3.7,11,30.02,778,Below Avg
PROD-QO807,HD Speaker Model 473,Electronics,Lenovo,2024-02-04,1905.44,1383.68,SUP00338,297,4.1,11,27.38,647,Below Avg
PROD-SO998,Premium Mixer Edition 561,Home & Garden,KitchenAid,2016-06-05,460.25,303.52,SUP00292,145,4.5,8,34.05,3447,Below Avg
PROD-BJ945,Practical Science,Books,HarperCollins,2018-11-21,29.48,23.75,SUP00153,885,1.4,0,19.44,2548,Low
PROD-RS528,Competition Gloves Plus 881,Sports,Spalding,2020-01-03,734.66,501.37,SUP00268,819,5.0,12,31.75,2140,Below Avg
PROD-WK726,Ultra Headphones Edition 613,Electronics,Apple,2023-09-03,2000.0,1627.89,SUP00477,703,4.0,22,18.61,801,Low
PROD-AU411,Introduction to Philosophy,Books,Oxford,2023-11-21,60.0,38.01,SUP00412,46,2.9,0,36.65,722,Below Avg
PROD-XU795,4K Tablet Series 891,Electronics,Canon,2019-01-26,546.01,415.05,SUP00273,239,4.2,17,23.98,2482,Below Avg
PROD-TS405,Digital Speaker Edition 445,Electronics,Canon,2018-03-03,1892.31,1260.14,SUP00158,495,3.5,36,33.41,2811,Below Avg
PROD-FH907,Ultra Printer Model 865,Electronics,Apple,2021-01-18,1320.76,902.12,SUP00379,246,3.9,15,31.7,1759,Below Avg
PROD-VP990,Luxury Sofa Pro 960,Furniture,IKEA,2017-05-17,852.84,666.41,SUP00427,214,4.8,22,21.86,3101,Below Avg
PROD-WL133,Training Football Edition 899,Sports,TaylorMade,2024-07-23,337.52,253.28,SUP00293,113,3.1,9,24.96,477,Below Avg
PROD-UT510,Formal Sweater Series 432,Apparel,Gap,2019-11-29,112.65,83.64,SUP00485,529,4.8,5,25.75,2175,Below Avg
PROD-RX890,Comfort Sneakers Elite 202,Apparel,Puma,2023-08-25,104.52,67.03,SUP00017,460,4.0,5,35.87,810,Below Avg
PROD-UZ354,Wireless Printer Elite 278,Electronics,Apple,2016-03-18,1491.65,1191.35,SUP00121,412,3.7,17,20.13,3526,Below Avg
PROD-PM312,Classic Boots Pro 339,Apparel,Under Armour,2024-04-23,300.0,197.1,SUP00279,228,4.1,0,34.3,568,Below Avg
PROD-GY179,Introduction to Fiction,Books,Cambridge,2019-09-12,19.6,15.27,SUP00129,35,3.4,0,22.09,2253,Below Avg
PROD-EU852,Professional Heater X 536,Home & Garden,Rubbermaid,2024-05-23,208.99,177.61,SUP00315,482,4.6,18,15.02,538,Low
PROD-QD129,Professional Iron Max 462,Home & Garden,Black+Decker,2021-08-29,216.11,136.15,SUP00321,41,4.2,19,37.0,1536,Below Avg
PROD-NU261,Premium Headphones Model 721,Electronics,Apple,2023-02-08,700.07,559.62,SUP00085,199,4.2,13,20.06,1008,Below Avg
PROD-UQ127,Pro Router X 129,Electronics,Asus,2015-03-08,490.78,357.51,SUP00226,221,3.0,28,27.15,3902,Below Avg
PROD-TC945,Performance Golf Club Pro 582,Sports,Wilson,2020-07-10,800.0,601.56,SUP00010,70,4.8,6,24.81,1951,Below Avg
PROD-PT363,Introduction to Fiction,Books,Cambridge,2015-09-16,17.23,14.33,SUP00051,559,2.8,0,16.83,3710,Low
PROD-RQ756,Premium Printer Model 845,Electronics,Lenovo,2024-02-03,1051.4,702.54,SUP00110,217,3.9,9,33.18,648,Below Avg
PROD-TD762,Luxury Ottoman Plus 826,Furniture,La-Z-Boy,2015-03-29,2415.16,1998.93,SUP00264,513,3.3,28,17.23,3881,Low
PROD-RL517,Sport Dress Elite 194,Apparel,Forever 21,2024-12-18,66.11,50.98,SUP00215,461,3.9,1,22.89,329,Below Avg
PROD-RA134,Premium Coffee Maker Pro 876,Home & Garden,KitchenAid,2015-09-16,61.29,43.13,SUP00142,207,4.2,22,29.63,3710,Below Avg
PROD-UR902,Formal Jeans Model 577,Apparel,Levi's,2017-04-29,174.83,118.53,SUP00320,631,4.5,2,32.2,3119,Below Avg
PROD-WW562,Eco Vacuum Edition 946,Home & Garden,Rubbermaid,2018-09-12,129.02,93.27,SUP00436,168,4.6,8,27.71,2618,Below Avg
PROD-WL798,Pro Monitor Pro 373,Electronics,HP,2016-04-19,1012.7,827.31,SUP00173,883,2.7,26,18.31,3494,Low
PROD-AM183,Outdoor Bicycle Pro 758,Sports,Yonex,2016-04-27,758.1,612.63,SUP00189,797,3.4,5,19.19,3486,Low
PROD-GM567,Wireless Speaker Plus 585,Electronics,LG,2024-02-25,1161.09,774.04,SUP00294,113,4.4,31,33.34,626,Below Avg
PROD-VE486,Regular Jacket Edition 628,Apparel,Uniqlo,2023-05-08,230.31,146.13,SUP00174,420,4.3,2,36.55,919,Below Avg
PROD-OA456,Regular Jacket Pro 673,Apparel,Uniqlo,2017-05-24,261.84,203.54,SUP00061,210,4.5,3,22.27,3094,Below Avg
PROD-QD790,Pro Headphones Edition 916,Electronics,LG,2020-05-17,1429.23,1108.03,SUP00064,462,4.9,29,22.47,2005,Below Avg
PROD-CK199,Elite Golf Club Max 301,Sports,The North Face,2023-06-12,119.25,73.48,SUP00434,359,3.6,11,38.38,884,Below Avg
PROD-IP934,Premium Printer Elite 744,Electronics,Lenovo,2015-03-06,2000.0,1426.22,SUP00227,169,4.6,22,28.69,3904,Below Avg
PROD-GL506,Essential Business,Books,Cambridge,2022-10-27,60.0,45.91,SUP00180,545,3.9,0,23.48,1112,Below Avg
PROD-GS343,Advanced Travel,Books,Penguin,2017-08-01,60.0,46.25,SUP00443,676,4.8,0,22.92,3025,Below Avg
PROD-KZ914,Outdoor Treadmill Edition 958,Sports,Decathlon,2015-11-14,800.0,514.25,SUP00335,688,2.8,5,35.72,3651,Below Avg
PROD-CF540,Practical Cooking,Books,Macmillan,2022-11-02,24.32,20.13,SUP00201,114,4.0,0,17.23,1106,Low
PROD-JS941,Outdoor Football Model 727,Sports,Columbia,2023-01-11,529.23,444.55,SUP00447,658,4.6,11,16.0,1036,Low
PROD-IN556,Contemporary Cabinet Pro 411,Furniture,Wayfair,2015-06-30,905.09,587.36,SUP00450,592,3.9,50,35.1,3788,Below Avg
PROD-EO950,Professional Toaster X 549,Home & Garden,OXO,2015-06-09,273.94,200.41,SUP00336,65,2.9,9,26.84,3809,Below Avg
PROD-OP672,HD Router Model 393,Electronics,HP,2021-09-13,865.65,692.98,SUP00437,347,4.7,14,19.95,1521,Low
PROD-RR273,Heavy Duty Toaster Pro 918,Home & Garden,Philips,2016-01-06,269.96,196.51,SUP00150,354,4.7,8,27.21,3598,Below Avg
PROD-US592,Digital Speaker Elite 617,Electronics,Sony,2020-03-04,2000.0,1324.59,SUP00417,286,4.3,34,33.77,2079,Below Avg
PROD-WA281,Training Gloves X 204,Sports,Spalding,2017-09-03,367.43,273.74,SUP00487,296,4.5,4,25.5,2992,Below Avg
PROD-ED112,Training Bicycle Model 757,Sports,Decathlon,2021-08-17,316.87,265.01,SUP00051,80,4.5,5,16.37,1548,Low
PROD-YO930,Smart TV Pro 908,Electronics,Nikon,2015-09-13,1655.2,1045.78,SUP00401,252,4.8,35,36.82,3713,Below Avg
PROD-HL214,Compact Coffee Maker Pro 319,Home & Garden,Scotts,2022-09-16,385.21,280.74,SUP00080,621,4.2,22,27.12,1153,Below Avg
PROD-LM495,Deluxe Iron Max 323,Home & Garden,Miracle-Gro,2021-05-15,115.93,73.0,SUP00157,289,4.8,8,37.03,1642,Below Avg
PROD-FI899,Contemporary Table Pro 885,Furniture,Wayfair,2016-01-09,612.59,438.6,SUP00014,69,4.1,46,28.4,3595,Below Avg
PROD-UY821,Pro Router Model 790,Electronics,Canon,2023-09-26,731.25,442.92,SUP00427,249,4.3,31,39.43,778,Below Avg
PROD-UL501,HD Camera Edition 343,Electronics,Apple,2018-04-18,542.51,345.92,SUP00267,133,4.8,21,36.24,2765,Below Avg
