product_id,product_name,product_category,brand,launch_date,price,cost,supplier_id,stock_quantity,rating,warranty_period,launch_date_year,launch_date_month,launch_date_day,launch_date_weekday
13834,16091,1,20,2021-03-09,0.0020873758846299,0.0022854310653413,185,0.027885633603953408,0.9487179487179487,0.0,2021,3,9,1
16885,11653,2,25,2015-08-09,0.24845450689502002,0.24465519886397158,412,0.0737733851041299,0.8461538461538463,0.5,2015,8,9,6
11157,8079,4,14,2019-12-22,0.12834188879129246,0.10833572628324396,33,0.153900458877515,0.7692307692307692,0.2833333333333333,2019,12,22,6
19143,267,2,19,2018-09-16,0.16223753335626664,0.11960160334200039,160,0.00953053300388281,0.7948717948717949,0.4166666666666667,2018,9,16,6
17079,8427,5,49,2019-03-18,0.12848884005357042,0.1082413194922488,141,0.23155665372396753,0.6666666666666667,0.13333333333333333,2019,3,18,0
4919,10318,1,20,2018-01-03,0.018098383870095085,0.016662798610646724,150,0.19625838333921639,0.5897435897435899,0.0,2018,1,3,2
17247,12439,2,42,2023-01-01,0.2969818214608959,0.2301637564462137,258,0.08930462407342041,0.9487179487179487,0.16666666666666666,2023,1,1,6
11600,12207,2,3,2024-05-13,0.224411276505499,0.1888411173043714,31,0.025414754677020826,0.9230769230769231,0.4666666666666667,2024,5,13,0
8958,9094,1,36,2017-03-17,0.018098383870095085,0.01746525633410563,284,0.17860924814684082,0.8205128205128205,0.0,2017,3,17,4
13881,3809,5,12,2024-01-19,0.1998370176909281,0.1615850900208088,174,0.13378044475820686,0.7692307692307692,0.06666666666666667,2024,1,19,4
13749,17840,2,8,2021-06-21,0.13998109672398878,0.12536435120899694,302,0.0889516413695729,0.9230769230769231,0.5,2021,6,21,0
11945,7506,2,13,2023-02-15,0.4000347339347202,0.37030277044595405,44,0.13130956583127426,0.7435897435897436,0.45,2023,2,15,2
16515,13517,0,0,2022-09-05,0.04881787728901639,0.038455032865364114,77,0.08965760677726792,0.5641025641025641,0.016666666666666666,2022,9,5,0
17698,5810,5,0,2017-11-30,0.06428115784235469,0.05354045134313328,457,0.1775503000352983,0.8717948717948718,0.05,2017,11,30,3
4850,4684,2,46,2018-05-27,0.5354803803365852,0.48425176717711893,370,0.08577479703494528,0.9230769230769231,0.16666666666666666,2018,5,27,6
14101,8117,4,41,2016-09-05,0.05968893089616891,0.05565280329165011,270,0.1260148252735616,0.8461538461538463,0.4,2016,9,5,0
16158,7821,2,19,2022-11-16,0.10852684699367775,0.09576388861572108,407,0.05753618072714437,0.6153846153846154,0.3833333333333333,2022,11,16,2
7539,6847,3,23,2020-03-01,0.21914106987198542,0.21794594424492267,276,0.14084009883515708,0.7179487179487178,0.36666666666666664,2020,3,1,6
13199,11762,4,33,2023-06-03,0.05267534792381245,0.05101113606772113,205,0.13378044475820686,0.8974358974358974,0.35,2023,6,3,5
5342,7656,2,46,2017-11-30,0.38911024350492124,0.38450705887443504,404,0.323685139428168,0.8461538461538463,0.55,2017,11,30,3
1006,5219,2,8,2024-04-04,0.3489157334704878,0.2548196633611177,390,0.04024002823861631,0.7179487179487178,0.4666666666666667,2024,4,4,3
7084,637,5,47,2021-08-06,0.24253637878691733,0.18233884957457938,462,0.1602541475467702,0.8717948717948718,0.2,2021,8,6,4
3779,4773,2,1,2016-11-04,0.21919116689321655,0.17143879883092922,235,0.07447935051182492,0.8717948717948718,0.26666666666666666,2016,11,4,4
4949,14979,4,30,2020-03-21,0.05220109612282454,0.03840782946986653,437,0.3455700670667137,0.9487179487179487,0.1,2020,3,21,5
9915,6200,4,14,2019-07-03,0.06396387670789094,0.056494597178023666,360,0.11966113660430638,0.7179487179487178,0.31666666666666665,2019,7,3,2
9161,6550,3,40,2019-07-11,0.45618681513197223,0.35513867964235557,384,0.1775503000352983,0.8205128205128205,0.6333333333333333,2019,7,11,3
10916,16779,2,25,2022-10-08,0.4354032309238893,0.3161172060310205,21,0.11330744793505118,0.8717948717948718,0.5166666666666666,2022,10,8,5
5610,2138,0,31,2018-05-26,0.04457966929286384,0.033081713011222605,158,0.1567243205082951,0.9230769230769231,0.06666666666666667,2018,5,26,5
17688,7999,4,5,2021-11-10,0.058970873591856224,0.0567620830858433,491,0.03776914931168373,0.9487179487179487,0.3833333333333333,2021,11,10,2
653,664,5,48,2018-10-24,0.2115964584745791,0.19530404887124878,153,0.0741263678079774,0.7692307692307692,0.2,2018,10,24,2
4756,785,5,56,2018-01-15,0.12363276879556741,0.10614076839260637,270,0.08789269325803035,0.6410256410256412,0.1,2018,1,15,0
12248,10705,4,5,2018-06-15,0.04645329788690764,0.04416664372057163,96,0.06600776561948465,0.9230769230769231,0.3833333333333333,2018,6,15,4
13931,16903,2,1,2021-03-10,0.3986286775388336,0.3923034863641191,283,0.43946346629015176,0.8205128205128205,0.55,2021,3,10,2
8886,12649,2,8,2018-05-04,0.4680731683694087,0.46766370727601003,369,0.08789269325803035,0.9230769230769231,0.43333333333333335,2018,5,4,4
5073,813,5,56,2019-06-12,0.04090588773591521,0.03900967276246071,71,0.1168372749735263,0.43589743589743585,0.13333333333333333,2019,6,12,2
3205,15011,4,5,2017-03-07,0.03380880972817356,0.027035744771240544,397,0.16237204376985528,0.8974358974358974,0.35,2017,3,7,1
5594,13633,0,50,2021-03-04,0.09825361783988323,0.09798244820410747,366,0.0430638898693964,0.8717948717948718,0.0,2021,3,4,3
11201,10319,1,29,2024-12-16,0.0020105604520755196,0.0012902261436005963,349,0.17684433462760324,0.6410256410256412,0.0,2024,12,16,0
13,3869,5,9,2018-04-03,0.26524368861027525,0.2473103898607106,475,0.09671726085421814,0.9487179487179487,0.13333333333333333,2018,4,3,1
500,6272,4,24,2015-04-05,0.12188605265530911,0.10086578894575149,74,0.09918813978115072,0.9487179487179487,0.2,2015,4,5,6
7568,2667,0,31,2015-01-03,0.025886800770826165,0.02076556040264496,305,0.03106247793858101,0.9230769230769231,0.06666666666666667,2015,1,3,5
14104,1990,0,17,2023-08-19,0.03529836115944546,0.025918597744464415,28,0.34309918813978113,0.8205128205128205,0.016666666666666666,2023,8,19,5
1608,631,1,7,2015-05-21,0.0024614336431555777,0.0015537784351287666,311,0.08083303918108013,0.7692307692307692,0.0,2015,5,21,3
13716,10384,0,16,2023-10-10,0.08847133949415366,0.07231953551858829,415,0.20225908930462408,0.7692307692307692,0.0,2023,10,10,1
8801,9981,5,6,2020-08-23,0.10512692915279256,0.08124491088392291,386,0.20155312389692906,0.6666666666666667,0.15,2020,8,23,6
8966,6126,1,34,2018-08-02,0.009441618601357962,0.008913574516460215,485,0.23508648076244265,0.8461538461538463,0.0,2018,8,2,3
4677,9428,3,15,2021-04-07,0.5211359332574085,0.3763094025230215,11,0.18637486763148606,0.6153846153846154,0.8666666666666667,2021,4,7,2
6626,12878,4,14,2020-06-24,0.06619486405338337,0.06200559360236647,475,0.17684433462760324,0.7948717948717949,0.2833333333333333,2020,6,24,2
2096,163,2,3,2018-09-30,0.18180209004772577,0.14839567459552588,84,0.014119308153900459,0.7435897435897436,0.1,2018,9,30,6
13379,14990,4,4,2019-05-22,0.16504964614804005,0.15080698138219406,83,0.24849982350864808,0.38461538461538464,0.35,2019,5,22,2
19263,582,2,3,2021-01-20,0.25187780334581306,0.17776798744389677,8,0.038475114719378756,0.9230769230769231,0.45,2021,1,20,2
5376,5426,4,30,2021-09-06,0.06864627829229274,0.05034635491446351,291,0.04977056124249912,0.9487179487179487,0.26666666666666666,2021,9,6,0
9493,16653,2,3,2021-02-23,0.6609400205063806,0.5052730126387092,349,0.36004235792446165,0.6410256410256412,0.21666666666666667,2021,2,23,1
240,6625,3,15,2017-03-26,0.8297937004665702,0.7214055597732664,310,0.18637486763148606,0.6923076923076923,0.4166666666666667,2017,3,26,6
7961,4273,3,53,2016-09-21,0.7938040004141353,0.6929812484511386,361,0.14931168372749734,0.7692307692307692,0.85,2016,9,21,2
18630,13849,3,22,2016-08-05,0.7209328733313517,0.6936656976858535,227,0.07271443699258737,0.8717948717948718,0.8833333333333333,2016,8,5,4
18531,12720,5,9,2016-12-07,0.08786015583513404,0.08215357624725138,140,0.1722555594775856,0.8717948717948718,0.13333333333333333,2016,12,7,2
18491,5969,5,48,2021-06-03,0.08399600559750717,0.07915616063315487,174,0.16519590540063536,0.8461538461538463,0.06666666666666667,2021,6,3,3
13907,3504,4,4,2016-03-11,0.16504964614804005,0.11947179400438204,65,0.028591599011648428,0.9230769230769231,0.35,2016,3,11,4
17160,12890,4,14,2018-04-08,0.055260354219338115,0.03957217989214024,91,0.036004235792446174,0.9487179487179487,0.2833333333333333,2018,4,8,6
14741,10317,1,45,2015-03-09,0.008382901552673678,0.008591017980560068,202,0.049417578538651606,0.12820512820512825,0.0,2015,3,9,0
1071,8754,3,40,2017-07-26,1.0,0.9248836632981798,233,0.031768443346276036,0.8717948717948718,0.9333333333333333,2017,7,26,2
4708,1168,0,28,2019-12-29,0.04971294406834569,0.03880119109901305,238,0.3476879632897988,0.7948717948717949,0.05,2019,12,29,6
8675,12704,2,42,2016-06-08,0.4349022607115781,0.41441040992215367,367,0.4426403106247794,0.7948717948717949,0.3333333333333333,2016,6,8,2
9535,2953,3,52,2019-02-20,0.7501260775034315,0.5981299588150375,256,0.028944581715495944,0.6666666666666667,0.8333333333333334,2019,2,20,2
13531,4749,2,32,2017-10-21,0.3617205320971615,0.2904464261129184,234,0.13942816801976704,0.4871794871794873,0.55,2017,10,21,5
4426,7258,0,0,2016-11-29,0.05558097515521726,0.04239258277312081,318,0.1634309918813978,0.9743589743589745,0.03333333333333333,2016,11,29,1
2223,12093,2,42,2022-02-15,0.30039843830885815,0.27462148777235373,103,0.05894811154253442,0.9487179487179487,0.23333333333333334,2022,2,15,1
15917,3289,4,4,2020-01-21,0.08850473750830776,0.06582120140508772,334,0.15319449346981998,0.8717948717948718,0.13333333333333333,2020,1,21,1
11274,10141,5,12,2020-08-04,0.053506958476249,0.05142416577832498,455,0.11013060360042358,0.9230769230769231,0.1,2020,8,4,1
2446,13404,0,28,2018-06-15,0.07230002104074891,0.05121175049858587,438,0.308506883162725,0.6923076923076923,0.06666666666666667,2018,6,15,4
11423,8340,5,12,2016-02-02,0.10787558571767322,0.09699117689865823,83,0.15495940698905755,0.38461538461538464,0.06666666666666667,2016,2,2,1
3355,15345,2,8,2020-03-17,0.5261055577635353,0.48013327091995484,172,0.02400282386163078,0.7692307692307692,0.5166666666666666,2020,3,17,1
8814,5707,4,11,2016-10-27,0.11217391013930311,0.08870304737254099,191,0.1108365690081186,0.9230769230769231,0.3,2016,10,27,3
12157,11910,2,32,2019-10-24,0.11087806719012487,0.09700691136382408,450,0.5001764913519238,0.8205128205128205,0.3,2019,10,24,3
4557,11398,0,28,2024-04-04,0.01820859731680354,0.0127960537961364,194,0.21637839745852452,0.7692307692307692,0.1,2024,4,4,3
13961,13683,0,51,2016-01-06,0.03941299650322791,0.03528060451815167,33,0.10871867278503354,0.7692307692307692,0.016666666666666666,2016,1,6,2
13003,12382,2,8,2021-05-17,0.30668394457265574,0.2735318760596179,90,0.13342746205435935,0.7435897435897436,0.23333333333333334,2021,5,17,0
4923,140,2,32,2021-07-04,0.3748426118582989,0.26615634551312056,292,0.2957995058242146,0.9487179487179487,0.26666666666666666,2021,7,4,6
16777,5464,4,5,2024-06-17,0.04405532047064481,0.044139108406531374,315,0.3360395340628309,0.4615384615384615,0.4,2024,6,17,0
3252,5097,2,25,2016-11-23,0.5253641218493147,0.5152250618561163,318,0.37839745852453227,0.9230769230769231,0.3,2016,11,23,2
4486,10316,1,29,2021-09-05,0.008680143878644976,0.008929308981626078,327,0.1048358630427109,0.6666666666666667,0.0,2021,9,5,6
3923,12147,5,56,2023-12-07,0.1853489591508889,0.1743496748866135,257,0.06424285210024709,0.6410256410256412,0.15,2023,12,7,3
18876,2226,0,57,2023-08-04,0.09157067520765215,0.07849137947989725,428,0.14542887398517473,0.7435897435897436,0.08333333333333333,2023,8,4,4
13248,12957,4,24,2015-12-10,0.13636743159251752,0.1101766587076497,218,0.17402047299682316,0.9230769230769231,0.3833333333333333,2015,12,10,3
19664,8286,4,5,2017-08-03,0.09099288956278659,0.06730810836326158,306,0.11648429226967878,0.7948717948717949,0.18333333333333332,2017,8,3,3
14485,9111,3,38,2024-01-02,0.5767035492069641,0.5591124188199939,44,0.13166254853512177,0.7692307692307692,0.31666666666666665,2024,1,2,1
9264,3273,4,30,2023-02-11,0.09006776457071862,0.07887687387646083,3,0.11966113660430638,0.8717948717948718,0.3,2023,2,11,5
17871,623,1,54,2020-02-29,0.018098383870095085,0.01575019963102679,37,0.3551006000705965,0.6923076923076923,0.0,2020,2,29,5
17076,3739,5,12,2019-09-17,0.26524368861027525,0.236068114499703,22,0.16660783621602543,0.7948717948717949,0.05,2019,9,17,1
6112,6425,1,43,2024-10-06,0.0025449286785407736,0.0022893646816327653,136,0.004235792446170138,0.7435897435897436,0.0,2024,10,6,6
7652,12152,5,56,2018-05-31,0.13096029310097224,0.10075564768959047,365,0.18672785033533357,0.7948717948717949,0.2,2018,5,31,3
12843,4321,4,5,2019-01-16,0.05777856448655563,0.05133369260362129,435,0.08153900458877515,0.7948717948717949,0.35,2019,1,16,2
680,8862,3,53,2024-03-07,0.4286334534548576,0.30985882251129926,206,0.30674196964348743,0.7692307692307692,0.35,2024,3,7,3
15703,8796,3,10,2024-11-15,0.31133962774573426,0.3092373111372478,381,0.12424991175432404,0.9743589743589745,0.2,2024,11,15,4
9682,8605,5,12,2020-03-26,0.12159882973358403,0.09102781460079694,236,0.08224496999647017,0.8974358974358974,0.16666666666666666,2020,3,26,3
8021,10317,1,20,2024-01-10,0.007985465184240145,0.007312592685833868,39,0.010236498411577833,0.8974358974358974,0.0,2024,1,10,2
5372,15063,2,19,2020-01-12,0.11539347870375627,0.08888399372194838,327,0.024708789269325807,0.7179487179487178,0.55,2020,1,12,6
6266,10230,5,55,2016-07-15,0.26524368861027525,0.19151204276627629,476,0.15354747617366749,0.8205128205128205,0.11666666666666667,2016,7,15,4
15024,12797,5,0,2023-09-26,0.12659517265103418,0.10433917213111528,299,0.07906812566184257,0.6666666666666667,0.18333333333333332,2023,9,26,1
12671,7823,2,27,2024-02-04,0.6344386962751194,0.5426817035705436,337,0.1044828803388634,0.7692307692307692,0.18333333333333332,2024,2,4,6
14186,10919,4,24,2016-06-05,0.15177393552179388,0.11778820623163491,291,0.05082950935404165,0.8717948717948718,0.13333333333333333,2016,6,5,6
1050,10317,1,21,2018-11-21,0.007905309950270358,0.007737423245312112,152,0.3120367102012001,0.07692307692307687,0.0,2018,11,21,2
13550,3692,5,47,2020-01-03,0.2434214261620004,0.19561480455827454,267,0.28873985174726435,1.0,0.2,2020,1,3,4
17035,16539,2,1,2023-09-03,0.666019858459216,0.638744547024416,476,0.24779385810095306,0.7435897435897436,0.36666666666666664,2023,9,3,6
606,8697,1,34,2023-11-21,0.018098383870095085,0.013346760076941532,411,0.015884221673138015,0.4615384615384615,0.0,2023,11,21,1
18090,604,2,8,2019-01-26,0.1804160724603315,0.16165982873034665,272,0.08400988351570773,0.7948717948717949,0.2833333333333333,2019,1,26,5
15029,5148,2,8,2018-03-03,0.6300535370166889,0.494085807905782,157,0.17437345570067067,0.6153846153846154,0.6,2018,3,3,5
4048,16729,2,1,2021-01-18,0.4391671871190539,0.3532544774387437,378,0.08648076244264032,0.7179487179487178,0.25,2021,1,18,0
16435,9042,3,23,2017-05-17,0.2828911992892903,0.26053520783261674,426,0.07518531591951995,0.9487179487179487,0.36666666666666664,2017,5,17,2
17047,16208,5,48,2024-07-23,0.11078455275049344,0.09802571798331358,292,0.039534062830921285,0.512820512820513,0.15,2024,7,23,1
15809,7298,0,17,2019-11-29,0.03568243832221736,0.03129585121489739,484,0.18637486763148606,0.9487179487179487,0.08333333333333333,2019,11,29,4
13708,2635,0,39,2023-08-25,0.03296717977149078,0.02476211455477364,16,0.16201906106600777,0.7435897435897436,0.08333333333333333,2023,8,25,4
15946,17666,2,1,2016-03-18,0.4962410535069585,0.4670264614367926,120,0.14507589128132722,0.6666666666666667,0.2833333333333333,2016,3,18,4
11774,1595,0,50,2024-04-23,0.09825361783988323,0.07592666165786191,278,0.0801270737733851,0.7692307692307692,0.0,2024,4,23,1
5328,8695,1,7,2019-09-12,0.0046055861518474114,0.004401716630149595,128,0.01200141193081539,0.5897435897435899,0.0,2019,9,12,3
3649,12965,4,41,2024-05-23,0.06785808515825649,0.06826004350579618,314,0.16978468055065302,0.8974358974358974,0.3,2024,5,23,3
12305,12984,4,4,2021-08-29,0.07023602376602688,0.05195127036138133,320,0.014119308153900459,0.7948717948717949,0.31666666666666665,2021,8,29,6
10497,10615,2,1,2023-02-08,0.2318690530661047,0.21852811945605952,84,0.06989057536180728,0.7948717948717949,0.21666666666666667,2023,2,8,2
15704,12441,2,3,2015-03-08,0.161970349243034,0.1390258005892557,225,0.07765619484645253,0.4871794871794873,0.4666666666666667,2015,3,8,6
14569,10132,5,55,2020-07-10,0.26524368861027525,0.23502570618246468,9,0.02435580656547829,0.9487179487179487,0.1,2020,7,10,4
12007,8695,1,7,2015-09-16,0.003814053216395753,0.004031956698751863,50,0.1969643487469114,0.43589743589743585,0.0,2015,9,16,2
13492,11114,2,27,2024-02-03,0.34920629619362836,0.2747473634936806,109,0.07624426403106248,0.7179487179487178,0.15,2024,2,3,5
14596,9009,3,26,2015-03-29,0.8046750540212878,0.784697445902942,263,0.18072714436992587,0.5641025641025641,0.4666666666666667,2015,3,29,6
13328,15630,0,16,2024-12-18,0.020139002534909273,0.01844866040697194,214,0.16237204376985528,0.7179487179487178,0.016666666666666666,2024,12,18,2
12988,10473,4,24,2015-09-16,0.018529218252682694,0.015360771618171733,141,0.07271443699258737,0.7948717948717949,0.36666666666666664,2015,9,16,2
15756,7039,0,28,2017-04-29,0.05644932352322331,0.04502023845581959,319,0.22237910342393222,0.8717948717948718,0.03333333333333333,2017,4,29,5
17388,5694,4,41,2018-09-12,0.04114969323924,0.03508392370357841,435,0.05894811154253442,0.8974358974358974,0.13333333333333333,2018,9,12,2
17070,12292,2,19,2016-04-19,0.336281264716,0.3238270939622923,172,0.3113307447935051,0.4102564102564103,0.43333333333333335,2016,4,19,1
349,9560,5,56,2016-04-27,0.2512499206797164,0.2393802194171167,188,0.2809742322626191,0.5897435897435899,0.08333333333333333,2016,4,27,2
4992,17869,2,25,2024-02-25,0.38584057791923687,0.302872719977657,293,0.039534062830921285,0.8461538461538463,0.5166666666666666,2024,2,25,6
16097,13311,0,51,2023-05-08,0.074978541775906,0.05587701942026362,173,0.1478997529121073,0.8205128205128205,0.03333333333333333,2023,5,8,0
10658,13340,0,51,2017-05-24,0.0855089356386869,0.07845991054956551,60,0.0737733851041299,0.8717948717948718,0.05,2017,5,24,2
12332,12092,2,25,2020-05-17,0.47539401307198276,0.4342515704963043,63,0.1627250264737028,0.9743589743589745,0.48333333333333334,2020,5,17,6
1812,5911,5,49,2023-06-12,0.03788670725638653,0.027299297062768714,433,0.1263678079774091,0.6410256410256412,0.18333333333333332,2023,6,12,0
6571,11094,2,27,2015-03-06,0.666019858459216,0.5594153072744367,226,0.05930109424638193,0.8974358974358974,0.36666666666666664,2015,3,6,4
4951,6173,1,7,2022-10-27,0.018098383870095085,0.016454316947199066,179,0.19202259089304624,0.7179487179487178,0.0,2022,10,27,3
5140,636,1,36,2017-08-01,0.018098383870095085,0.016588059901108888,442,0.23826332509707024,0.9487179487179487,0.0,2017,8,1,1
8432,9829,5,12,2015-11-14,0.26524368861027525,0.20068130234168174,334,0.24249911754324038,0.43589743589743585,0.08333333333333333,2015,11,14,5
1674,10313,1,29,2022-11-02,0.006181972419919912,0.006313454147801698,200,0.039887045534768795,0.7435897435897436,0.0,2022,11,2,2
7451,9631,5,9,2023-01-11,0.17481188568527717,0.1732639967901691,446,0.23190963642781504,0.8974358974358974,0.18333333333333332,2023,1,11,2
6502,4031,3,52,2015-06-30,0.30034166168479626,0.22943997104858407,449,0.20861277797387928,0.7179487179487178,0.8333333333333334,2015,6,30,1
3485,13125,4,33,2015-06-09,0.0895500953513304,0.0772286886503369,335,0.022590893046240734,0.4615384615384615,0.15,2015,6,9,1
11130,7704,2,19,2021-09-13,0.2871694849024277,0.27098682631903986,436,0.12213201553123897,0.9230769230769231,0.23333333333333334,2021,9,13,0
13503,8232,4,37,2016-01-06,0.08822085438799808,0.07569457829666545,149,0.12460289445817155,0.9230769230769231,0.13333333333333333,2016,1,6,2
15778,5155,2,46,2020-03-04,0.666019858459216,0.5194379649042754,416,0.10060007059654077,0.8205128205128205,0.5666666666666667,2020,3,4,2
16744,16284,5,47,2017-09-03,0.1207738987839783,0.10607389691565146,486,0.10412989763501589,0.8717948717948718,0.06666666666666667,2017,9,3,6
3107,16143,5,12,2021-08-17,0.10388786282767626,0.1026398498932023,50,0.027885633603953408,0.8717948717948718,0.08333333333333333,2021,8,17,1
18700,15383,2,32,2015-09-13,0.5508635056559537,0.40976480908193325,400,0.08859865866572539,0.9487179487179487,0.5833333333333334,2015,9,13,6
5699,3036,4,44,2022-09-16,0.12671206570057345,0.10882742831967712,79,0.21884927638545712,0.7948717948717949,0.36666666666666664,2022,9,16,4
8804,4449,4,30,2021-05-15,0.03677789318647113,0.027110483480778384,156,0.1016590187080833,0.9487179487179487,0.13333333333333333,2021,5,15,5
4081,4270,3,52,2016-01-09,0.20265247028411693,0.17092349509674729,13,0.02400282386163078,0.7692307692307692,0.7666666666666666,2016,1,9,5
15932,12412,2,8,2023-09-26,0.24228255387934633,0.17262281733466026,426,0.08753971055418285,0.8205128205128205,0.5166666666666666,2023,9,26,1
15570,7363,2,1,2018-04-18,0.17924714196493877,0.1344667393074475,266,0.046593716907871514,0.9487179487179487,0.35,2018,4,18,2
3886,10917,4,41,2019-09-06,0.12046663705376078,0.11042054291772053,1,0.11930815390045887,0.8974358974358974,0.18333333333333332,2019,9,6,4
4157,6831,3,10,2020-04-30,0.7572699127309889,0.732655702366857,75,0.2626191316625485,0.8461538461538463,0.35,2020,4,30,3
15856,11027,2,8,2020-02-19,0.3976367565184574,0.3199406810663247,422,0.34733498058595125,0.7692307692307692,0.36666666666666664,2020,2,19,2
9053,2949,3,53,2020-03-06,0.3775912684231796,0.36432760729921837,476,0.19484645252382635,0.6666666666666667,0.31666666666666665,2020,3,6,4
4927,12819,5,31,2023-09-21,0.08110707737317939,0.07500226182936758,72,0.20861277797387928,0.7692307692307692,0.15,2023,9,21,3
