supplier_id,supplier_name,region,country,contact_email,contract_start,contract_end,on_time_delivery_rate,quality_score,total_orders_supplied
", ",",-aT00-}, 021205a",Europe,totaltotal,: ,2018-11-01,2022-11-22,0.82,0.77,1249
: ,: ,Latin America,", ",}8 ,2021-07-22,2024-06-01,0.93,0.82,2445
:,-1__ 0_,Europe,: ,supplier_email,2020-11-01,2024-12-11,0.92,0.88,1015
namecontract: ,", ",Europe,:dataeT00_,data_ ::-,2019-04-22,2023-01-21,0.92,0.88,540
_supplier: ,: ,North America,:: ,,2020-04-30,2021-12-20,0.84,0.83,2359
region 0 0}}. ,,Europe,: , ,2018-05-10,2025-12-07,0.93,0.88,648
contractacontactend,: ,Europe,: ,: rate,2018-11-03,2023-09-01,0.92,0.82,754
_deliverya_9quality ,"datadelivery, ",North America,00001id,:98,2021-06-21,2025-09-01,0.93,0.88,2541
quality00100 ,,Latin America,: ,,2020-07-22,2021-12-05,0.93,0.82,715
",end_o_",",:region{",Asia Pacific,",, ",quality_: ,2018-05-10,2023-06-05,0.88,0.88,541
: s4: ,00a ,Europe,: ,",0",2021-01-10,2024-06-24,0.93,0.77,1258
", ",s_7,Asia Pacific,": ,i",,2021-07-22,2026-01-12,0.83,0.84,2106
,":00.8, ",Europe,", ",contact ,2018-12-05,2023-06-18,0.86,0.88,1366
:n,total8 07quality2email,Latin America,: ,:@total,2021-07-22,2024-06-14,0.91,0.88,2111
: ,,Asia Pacific,"}, ",data,2019-02-10,2022-11-01,0.82,0.83,1987
.,: 0.,Middle East & Africa,supplier ,: ,2018-05-10,2021-12-01,0.9,0.88,1567
", :",}timep. ,Europe,", ",",}email_: ",2018-05-10,2022-03-18,0.9,0.87,891
",total",contact_ 0,Europe,__,dataSUP: 5_s}a_l ,2018-07-14,2025-05-13,0.82,0.83,540
region ,_,Asia Pacific,-contract}.supplied7,data,2021-07-01,2021-12-01,0.88,0.88,1550
contact_00: ,supplier ,North America,T00_,", ",2021-01-04,2023-09-20,0.82,0.81,728
: , 0 ,Europe,", ",{{00 ,2018-06-02,2021-12-01,0.83,0.77,866
:..0,{,Europe,:{,", ",2018-05-10,2023-09-12,0.88,0.81,1346
", 0",email ,North America,{:contact5startT00,: ,2019-05-01,2026-01-12,0.82,0.87,1021
._ 0,-ntotal,Latin America,",l :",contract ,2019-11-22,2025-03-16,0.82,0.77,1359
contact_.,:_s_000delivery,Europe, ,,2021-06-05,2025-04-12,0.82,0.81,540
countrysupplier ,", ",Europe,,s_,2019-05-18,2024-01-18,0.82,0.82,1986
SUP,supplier_SUP,Middle East & Africa,", ",42_4supplieremaile9n8_rate,2019-12-01,2024-12-09,0.82,0.84,1246
supplied_timequality.name002082,",SUP-1 ",Europe,contract_9,: ,2021-06-30,2023-08-12,0.82,0.88,2118
"total, ",T00::T00id,Europe,supplier ,_ ,2019-09-20,2024-02-04,0.91,0.87,644
"contact,}",SUP-00quality-00: ,Latin America,id,:rateemail,2020-02-18,2023-12-12,0.86,0.84,2358
4i,-: ,Latin America,",_41p3",",i",2020-03-18,2025-12-21,0.87,0.86,975
_n  , ,Middle East & Africa,}country_region,} ,2018-08-10,2022-03-12,0.83,0.82,540
,supplier ,Asia Pacific,-onnrate_,8: ,2020-07-08,2025-07-14,0.82,0.81,1059
:: ,data ,Middle East & Africa,:onend-_contact@_0,00,2019-01-08,2024-03-07,0.88,0.81,975
 ,: ,Europe,.,",}supplier",2020-07-13,2026-01-12,0.9,0.84,643
",-898l",score ,Europe,SUP,_id,2018-05-10,2023-05-31,0.83,0.83,978
,email,Middle East & Africa,"regionp-, ",", ",2018-07-08,2024-03-09,0.93,0.86,1349
supplier1:-007id,total: e,Europe,sa 0 ,,2018-06-02,2026-01-12,0.93,0.82,3120
",-@- ",supplieroT00:__,Europe,:00end-end} ,: ,2020-05-10,2024-07-25,0.86,0.88,1001
SUP,: ,Europe,"suppliers.{8orders78,",._SUP,2019-08-20,2024-10-01,0.88,0.82,1553
", ",total {@,Europe,SUP9-region.,8 ,2018-07-22,2024-04-21,0.89,0.85,1605
: ,: ,North America,e,: ,2018-07-20,2026-01-06,0.93,0.87,654
suppliedsupplier,data{e,North America,", ",rateid ,2019-11-03,2023-11-12,0.82,0.88,2750
e_score.supplier,-_00contractend,North America,o.{,: ,2018-05-30,2026-01-12,0.82,0.88,540
53:--:, ,Latin America,{,:: ,2020-07-22,2025-01-22,0.9,0.77,544
:__ ,: ,Asia Pacific,: ,"-,",2018-09-03,2024-07-03,0.83,0.88,1302
} ,},Middle East & Africa,._orders:T00: , ,2018-07-05,2024-02-18,0.93,0.88,1246
",. ",: ,Europe,supplierdeliverylnstart,",: ",2019-12-05,2022-05-17,0.86,0.78,548
_,: 70000,North America,,.__o00,2020-05-12,2022-04-11,0.88,0.87,1212
,: ,Europe,"-_8:@,contractstart",,2021-07-22,2022-03-14,0.93,0.81,2110
 0,a4T0000contact_,Europe,:@40{,: ,2019-07-21,2026-01-12,0.92,0.77,1211
- ,":22-}8, ",Middle East & Africa,on_,: ,2020-06-05,2024-05-10,0.83,0.88,3120
supplier}9end ,,Middle East & Africa,202,country,2018-05-10,2023-12-21,0.92,0.8,2101
country,: }n8,North America,", ",,2020-06-14,2024-07-13,0.88,0.83,1570
:,osupplied,North America,:,{,2020-02-14,2025-03-22,0.88,0.81,1994
: ,: ,North America,: ,", ",2018-05-14,2021-12-01,0.82,0.86,1980
data00supplied,,Asia Pacific,: ,,2020-02-05,2024-12-12,0.88,0.82,540
S_-_c7,",: 8",Europe,contractstart,",_: ",2019-09-10,2024-04-19,0.88,0.81,640
: ,":, ",Europe,":,}} ",-_ 07contract,2020-02-01,2024-07-02,0.93,0.77,1992
"data_name00,@, {",,North America,:,contract-00contract ,2020-11-21,2024-01-22,0.88,0.81,1243
"p, ",,Europe,___,: ,2020-02-12,2026-01-12,0.91,0.87,544
oneon_rate,,North America,", 2_supplied1emailends","contract, ",2018-05-10,2025-07-05,0.89,0.83,751
", 9",contact,North America,: ,", ",2020-11-01,2022-06-17,0.83,0.77,3120
 ,on_: ,Europe,: -a,"SUP_deliverysupplierstart_,9{",2018-06-02,2024-07-11,0.82,0.86,2184
supplier _score-T00-,-: ,Europe,8,1 ,2021-02-22,2025-09-07,0.93,0.88,1297
00start_orders,7 ,North America, 0-T00email ,l,2021-06-20,2024-01-20,0.93,0.78,1347
:-,contract_00nemail0,Europe,,p,2021-02-12,2024-07-14,0.86,0.85,3110
: ,-_id,Middle East & Africa,,: s,2018-05-10,2023-03-09,0.88,0.77,2800
:2,total 7,Latin America,: ,,2018-08-15,2025-09-17,0.87,0.77,903
", ",{ratesupplier_,Asia Pacific,s_score00,contact{,2019-12-18,2025-07-10,0.93,0.87,1298
{_,",",Asia Pacific,"4name9_{, ",", {7{",2018-05-10,2026-01-12,0.82,0.88,1478
: ,1_score,Europe,", ",  ,2018-05-10,2023-01-18,0.87,0.84,2115
_ ,":, ",Europe,8,"00,: ",2018-06-08,2024-05-08,0.82,0.85,1887
,"S,  ",Asia Pacific,"region,oncontacttotalcontact_SUPorders: }:end",@,2019-01-05,2023-01-21,0.85,0.88,3116
"countrystart: 0.,00@_155time_1_{", ,Latin America,8 0contract.-scoreeo,"._scoreid1,-0p, ",2018-07-20,2023-12-05,0.93,0.77,867
total,lonemail,Latin America,: ,,2018-07-12,2022-01-12,0.93,0.84,864
supplier1, ,Latin America, ,"total, ",2018-07-18,2026-01-12,0.93,0.8,2452
"contact,:end ",: ,Europe,email_supplied{,:8{1_end,2020-06-05,2026-01-12,0.83,0.78,1895
: ,", 07_c_supplier_8l7_supplied",Latin America,on ,76@_7...0}:_id,2018-05-19,2022-03-18,0.82,0.83,864
a {,,Asia Pacific,contract,_:2name_time_.end5,2019-05-05,2021-12-01,0.93,0.83,2768
,datas,Asia Pacific,region,contract00o_,2020-06-20,2025-01-05,0.83,0.88,2110
total,}__end,North America,{,contract_,2019-02-12,2022-03-17,0.93,0.87,2197
supplier} 0_,deliverysuppliede5 ,Europe,-00: ,,2018-09-22,2023-07-14,0.93,0.83,720
a99,:4time00start-._ scontact.oncontactT00-,North America,: ,A 0T00 0total,2018-07-02,2026-01-12,0.93,0.88,2090
id_,endiT0000: ,Asia Pacific,contract0,", ",2019-07-02,2021-12-01,0.9,0.85,1285
"},{o",}-_2end,Europe,,",",2019-11-04,2025-11-12,0.83,0.82,774
5_time21,":,-6 ",Europe,4 ,score,2021-02-18,2024-12-14,0.83,0.88,2950
on: ,"-}score,",Asia Pacific,:00,: ,2020-09-12,2026-01-12,0.86,0.83,767
: 8,contract8supplier_,Europe, ,":supplier3, ",2018-07-15,2026-01-12,0.9,0.85,1364
rate ,o,North America,contract, 0.,2019-02-24,2024-06-14,0.89,0.82,1908
,,North America,00}, 0.-,2019-12-22,2026-01-12,0.93,0.77,1265
:supplier.,"dataorders, ",North America,",orders__._.:..orders",:.,2018-12-20,2024-07-17,0.86,0.77,2027
,contractcountryendsupplieron{,Latin America,supplier ,"Sn, ",2021-01-12,2026-01-12,0.93,0.77,2884
"n__,edelivery,-deliveryiddelivery"," 0.,_score ",Middle East & Africa,,:: ,2021-06-05,2024-05-10,0.83,0.83,1333
,A_ ,Europe,",contract ",", ",2020-12-03,2023-06-17,0.93,0.85,2104
: data,", ",Middle East & Africa, 0--,"SUP{_5 045,contract",2019-05-03,2024-04-06,0.82,0.86,1073
 ,"__--:00osupplied, ",North America,_0contact}SUP000000id,T00,2019-05-05,2024-01-29,0.89,0.77,979
4_orders,country_,Europe,:,"00, ",2019-08-01,2024-04-14,0.89,0.83,2174
,,North America,_rate,scoreone,2019-06-10,2023-03-14,0.82,0.83,1878
", ",", ",Latin America,,: ,2020-02-05,2023-01-12,0.93,0.86,882
supplier1 --}00_,_email: ,North America,:end,,2020-07-05,2024-07-11,0.83,0.8,832
{, {_:id: ,Asia Pacific,89 ,", ",2019-04-12,2024-06-11,0.83,0.87,924
 ,_.__,North America,73,,2018-05-10,2023-05-05,0.82,0.87,712
_SUP {-,,Asia Pacific,:_}1,contactcountryo18supplier__deliverysupplied. 3,2019-03-22,2026-01-12,0.93,0.83,1250
2:  ,,Europe,,_:001id._{.,2020-01-20,2024-06-21,0.86,0.88,1357
: ,: },North America,n_3namea,-on,2018-07-22,2025-01-10,0.9,0.88,2735
-supplied,- ,North America,: ,on00,2020-07-21,2021-12-01,0.93,0.86,1366
si-_ ,4._.,Europe,quality:. ,se ,2018-05-12,2024-07-10,0.9,0.81,973
S ,,Europe,", supplier.9",qualityordersend,2019-12-03,2023-09-20,0.82,0.88,540
_00}: ,contact9 _s_,North America,total_id2total ,":0, ",2019-07-03,2022-12-20,0.83,0.85,1969
_o,: ,Europe,quality2_supplied: ,", ",2021-02-10,2025-02-03,0.93,0.86,1009
.--1268.-7}suppliedli,", ",North America,: ,: ,2021-03-02,2021-12-01,0.9,0.88,713
00:00::: ,.id9841email,North America,":delivery_:00, ",: ,2021-07-22,2025-09-18,0.86,0.82,1989
. n,,North America,", ", ,2021-05-21,2023-12-05,0.88,0.88,3120
", ", ,Asia Pacific,: s_supplieda71idoT00-,",qualityT00:001{",2019-07-23,2024-01-13,0.92,0.83,1321
_-a,:00,Latin America,: ,: ,2020-07-05,2023-01-01,0.83,0.84,869
a,: ,North America,quality,SUP,2020-11-27,2023-01-21,0.93,0.85,637
", ",supplier,Asia Pacific,: _country{,supplier ,2018-05-10,2023-09-01,0.82,0.84,2121
 ,", ",Asia Pacific,8__end,", ",2020-07-10,2025-12-11,0.88,0.86,1457
: {,T00T00email,Europe,: ,: ,2019-07-18,2024-07-11,0.86,0.77,2565
quality, 0 ,Europe,:: ,suppliercontract,2019-07-16,2024-09-04,0.93,0.77,540
T00id}:rate,"on_suppliedend,- 0  ",Latin America,8 ,", ",2020-12-18,2024-07-16,0.89,0.77,3120
rate: a_,00 ,North America,", ",:region,2018-12-20,2024-01-03,0.88,0.88,1020
", ", ,Asia Pacific,country{,__id.,2021-01-10,2024-01-01,0.88,0.81,1367
supplier00,: ,Europe,,-supplier_7 ,2018-05-14,2022-12-18,0.93,0.85,1558
"_dataendT00:T00,81:00, ",: ,Asia Pacific,contract,4,2018-05-10,2024-12-12,0.83,0.85,1637
 ,:}.6:T0000{,North America,name_4supplier_,,2019-12-10,2024-12-05,0.83,0.88,1334
s00contract8_15,"SUP 0,",North America,9countrytotal{,contactend-::_rate,2020-03-20,2026-01-12,0.86,0.81,2114
", ",",0,_00-:-1ordersa-.orders5score",North America,", ",S__idid,2018-09-05,2026-01-12,0.93,0.86,1644
",pT00_}:4",:-12a-a12}T00:SUP ,Europe,"{, ", 0-9 ,2021-02-22,2026-01-12,0.92,0.85,1409
"quality20,_name",: ,Asia Pacific,: ,:{,2018-08-05,2026-01-12,0.93,0.87,2035
contract_7: ,__score_name,Asia Pacific,{,: ,2020-06-27,2024-07-15,0.85,0.86,976
 0time-, ,Asia Pacific,:nend,}_-rate,2019-07-17,2026-01-12,0.9,0.87,1344
0,5_startemails ,North America,_ ,: ,2018-06-30,2022-03-18,0.93,0.83,757
A ,"contract, ",Europe,contracto_,: ,2018-12-28,2024-12-24,0.82,0.77,3118
"-, ",:,North America,contract_,202,2021-03-26,2024-08-11,0.88,0.81,2788
: 0 ,: ,Latin America,:contact5,on_,2020-07-12,2023-09-29,0.91,0.87,1925
:_{{,,Middle East & Africa,end: ,-,2018-07-12,2023-02-13,0.93,0.81,751
_17supplier,T00a,Latin America,: ,"-supplier 00T00,9",2018-05-10,2022-11-20,0.82,0.82,2120
,regionregion,Asia Pacific,contract,email,2018-05-20,2024-01-01,0.87,0.82,3105
:_.,: {,Asia Pacific, ,: ,2021-02-05,2025-08-29,0.89,0.87,1211
:,",",Europe, 0,: srate,2019-08-18,2023-12-01,0.82,0.87,2071
dataend_{,:contact,Latin America,: ,: ,2019-04-15,2022-12-15,0.87,0.88,1853
,: ,Europe,contact}_, ,2018-07-06,2026-01-12,0.82,0.85,1655
country6-.00orders90-ordersaratecontact0,: ,Europe,8-00-T00a,qualityemail} contract_5,2019-07-29,2025-09-01,0.88,0.84,2121
: ,: ,North America,:82o,: ,2020-12-30,2023-06-01,0.91,0.78,1368
"_ score: 0on{:00, ",,North America,", ",: ,2020-12-15,2022-05-12,0.84,0.77,2884
: 0,4end,Europe,"id.00, ",: ,2018-07-26,2024-12-12,0.82,0.83,751
"_,_delivery ",on_2_ 0_7supplied,North America,00 ,"ptime_delivery, ",2021-07-22,2022-12-07,0.92,0.82,3073
emaildata7l2scorecountryotime89.--@898contactscorea,contact00: ,Europe,2,,2019-12-22,2024-09-21,0.82,0.85,851
s,,Europe, 0,_supplied::time ,2018-05-15,2023-12-15,0.93,0.8,1255
: ,rate,Europe,}country,: ,2018-05-10,2024-08-14,0.82,0.77,1484
: ,}_supplier_supplied_ 0,Asia Pacific,"4,_ ","region, ",2021-02-28,2024-03-14,0.86,0.87,556
", ","data, ",North America,"n_-, 00",country,2019-06-19,2026-01-12,0.93,0.82,2115
: ,:00 country,Asia Pacific,"contract-0108s, ",:e8,2021-05-15,2025-01-12,0.93,0.87,2141
supplier,",i2_::, ",Europe,:5-,SUPstart00,2018-11-10,2024-04-17,0.82,0.88,770
202 ,__,Europe,ls00,: ,2020-07-21,2024-04-04,0.83,0.87,1550
.8p,:@end,Latin America,", ",,2018-05-30,2022-12-12,0.86,0.86,2082
T00,: 8email_ ,Europe,countryorders_ ,} 0 ,2018-06-24,2024-05-04,0.92,0.88,1555
- es,"contract, ",North America,", ",e ,2021-07-03,2025-01-16,0.88,0.81,1487
contract.9namerate3}, ,Europe,contact ,", ",2019-03-18,2021-12-01,0.86,0.85,3114
contactT00.00,oT00: ,North America,a,_ ,2018-08-29,2021-12-01,0.83,0.77,2979
", ",", ",Middle East & Africa, 1-4 ,"name, ",2018-07-22,2022-09-01,0.85,0.8,1343
: ,",  ",North America,"nregion}_ {8,on}",--nT00,2018-07-30,2025-09-01,0.84,0.88,540
"end1 0-},3:nend9..",data42},Europe,":, ",_-5@totalsupplied,2018-09-25,2026-01-12,0.92,0.8,1878
",__,8",": 0,00",Middle East & Africa,: ,,2019-08-22,2022-01-03,0.9,0.88,1030
s0,: ,Asia Pacific,8-8 ,,2018-11-03,2025-12-05,0.87,0.85,1431
", ",:s,Asia Pacific,S ,contractscore_,2020-04-20,2026-01-12,0.86,0.86,874
: ,0SUP-_time9.id1,Asia Pacific,2 ,contract__rate,2019-06-05,2023-07-23,0.82,0.88,1463
:s:- ,supplier:.,North America,,: ,2021-07-10,2023-01-14,0.92,0.88,647
", ",quality ,North America,contract_59_:,"totals, ",2020-05-03,2023-09-26,0.89,0.8,1983
",: ",: ,Asia Pacific,:_,:00: ,2018-05-10,2024-04-29,0.82,0.83,944
", ",._},Middle East & Africa,}-.3o_,e00suppliedcontract7@e,2019-02-08,2023-05-05,0.93,0.81,1643
",_",}00,Europe,", ",supplier00quality:_start,2020-07-03,2022-03-01,0.88,0.8,2536
 ,@,North America,country,contactl,2018-07-01,2024-06-23,0.89,0.88,1480
},on_8,Europe,: ,,2018-05-10,2025-06-15,0.93,0.88,1912
,"supplier_T00_}, ",Europe,: ,_data}3 ,2019-12-30,2024-06-12,0.88,0.88,2658
__contact,5e} ,Asia Pacific,_2,",.",2018-12-10,2023-06-05,0.82,0.85,540
}:rate471rate.n-time1,", ",Europe,",__delivery_s_",": 0, ",2019-03-20,2024-01-21,0.93,0.88,558
country 0 ,", ",Asia Pacific,: {,:_ ,2018-08-16,2021-12-01,0.93,0.88,3101
contact- ,: ,Europe,on006 0.,supplierid,2018-05-10,2023-03-21,0.82,0.86,1895
: ,SUP:00,North America,on3s,", ",2021-04-06,2021-12-01,0.88,0.82,2460
regionidptotal9_orders00-.,"country,id59}o",Europe,"s,supplier",",.8@ll ",2020-10-06,2022-01-29,0.83,0.87,2112
o__{,quality_:,Asia Pacific, 0,:supplied ,2019-07-20,2024-09-14,0.87,0.87,2109
: ,"}, ",Asia Pacific,",email- ",2__ ,2019-11-10,2026-01-12,0.89,0.82,1303
on_SUP7,datap_,Europe,quality_3__ 0_s,: ,2021-02-22,2021-12-16,0.87,0.84,1507
"contact7contract.,_SUPcontract4_name",800 T00,Asia Pacific,: ,",8contractdelivery 0, ",2020-09-02,2024-07-14,0.93,0.87,722
 ,- ,Middle East & Africa,"regionend, ",email_ ,2018-11-17,2023-03-29,0.92,0.84,544
":002time00,contracton,startcontract",5__00SUP00: ,North America,,s,2018-05-10,2025-10-18,0.89,0.82,1468
2_,: ,Europe,", ",supplier,2020-01-23,2024-07-21,0.83,0.85,883
}}_rateorderstotal,contract,Europe,contract: ,",_emailacountry",2021-07-22,2022-03-02,0.82,0.81,1323
__a,:00p_00,North America,: _-:}on,",",2019-03-10,2023-09-01,0.83,0.77,2920
: ,4_.orders7o ,Europe,"{.T00_00, supplied",:0 ,2019-02-14,2024-03-13,0.83,0.88,1012
: , ,Asia Pacific,data Si_31id8 00}_idtime: id,:.: ,2018-05-10,2026-01-12,0.88,0.81,1344
,}@:009,North America,_00suppliera,,2019-07-12,2022-03-04,0.82,0.82,1985
contract_,{,Europe,000000-T00:2,: ,2018-07-10,2025-06-14,0.93,0.87,578
_supplier00,:ratetimep5iorders_3start 7,Europe,:n,"-{T00:, ",2020-07-01,2024-05-12,0.93,0.85,1255
supplieratime ,s-,North America,"00--edeliverysupplied32400 0rate, ",: total,2018-06-01,2024-01-20,0.84,0.88,3119
_: ,countryemailscore,Asia Pacific,",supplier ","1,@_name",2020-07-14,2024-12-12,0.82,0.82,649
supplied3:-0019__end,_email,Asia Pacific,, ,2020-08-18,2023-04-21,0.82,0.88,540
aa-odelivery-delivery{,202,Europe,}contract,: ,2021-06-05,2021-12-01,0.82,0.81,2935
: ,:_o,Europe,: ,_se,2020-05-01,2024-05-01,0.93,0.82,2173
: {, ,North America,"total,delivery_",:.o_4starton@supplied,2018-07-03,2023-08-05,0.89,0.85,1556
"00,T0000:aend00",qualitystart-_,North America,: ,s-00:00,2020-07-12,2024-07-12,0.93,0.85,1492
":,qualityidon",SUPi,Europe,: ,", ",2018-05-10,2022-07-03,0.82,0.88,1290
: ,,Europe,: ,4 ,2019-01-22,2022-01-29,0.93,0.88,1144
",timeend","}8- id002, ",Europe,", -orders",on,2020-10-12,2022-09-30,0.93,0.88,1019
}1end6,pregion. ,Europe,",srate","contract_-, ",2018-05-10,2023-12-14,0.93,0.88,2003
end7,- {,Middle East & Africa,eSUP_28o,",00",2019-07-17,2024-01-15,0.93,0.85,1016
:contract,"country}total_00008,SUP_00",Europe,":, ","oend,9T00 0,o}. ",2018-12-29,2023-12-02,0.93,0.77,1253
:2,":timestart, ",North America,_id_rateemail_timeeT00icontract9: ,}-1_,2018-12-17,2024-11-02,0.86,0.86,3030
00s,__00,Latin America,-_:.,:: ,2020-11-21,2023-06-09,0.93,0.88,1006
idtime00,: -p-33orders,North America,",SUP00, ",9:name,2020-02-20,2022-12-12,0.86,0.88,3119
0000,",} ",Asia Pacific,name,",{s",2019-09-14,2022-12-14,0.87,0.88,2794
ldelivery00aT00_scoreid:0000,naorders,Europe,data,quality:_ 0.9 0,2020-05-08,2021-12-02,0.93,0.86,1276
country,":-6,_",Latin America,country._SUPtotal,: ,2019-09-05,2025-01-18,0.86,0.88,2043
quality,contact_,North America, ,onsupplier_,2019-04-01,2021-12-12,0.86,0.88,2110
: ,contactSUP4,Europe,:1,country,2021-02-28,2023-05-12,0.89,0.78,1559
: ,",__@}",Latin America,", ",", ",2018-07-10,2022-01-30,0.9,0.87,3016
: ,contact.a8:_ ,Europe,supplier_emailorders. ,contract: ,2019-07-16,2024-11-13,0.82,0.84,850
"SUPstart,-on: a",", ",Europe,o{:00,: ,2020-01-08,2023-01-20,0.93,0.8,1017
05emailemail_9n ,ratel,Europe,_}quality{,"country-, ",2018-09-01,2025-01-01,0.93,0.8,2414
___orders,id..,Asia Pacific,"onrate,9",", ",2020-07-03,2023-11-10,0.82,0.88,3034
",-6starton97",- ,Europe,, ,2019-12-08,2026-01-12,0.93,0.86,3104
", ",oni0supplier}contract,North America,:_ ,",_ ",2019-07-22,2024-04-01,0.88,0.77,1344
", ",contact ,Europe,,_ ,2020-07-02,2026-01-12,0.83,0.87,2400
:00,supplier5-_on_ ,Europe,4supplied_8.,00,2018-09-20,2024-01-16,0.87,0.81,991
",o-supplieron ",: ,North America,contact,008.3.111: ,2020-11-18,2024-12-09,0.89,0.83,2110
-6,8 ,Asia Pacific,l,country,2018-07-22,2023-03-22,0.82,0.86,2592
:nl2,_.,Latin America,", ",total_email,2018-11-14,2021-12-01,0.82,0.84,1312
a._ ,:-,Latin America,rateregion_contact00_ ,score00contract,2021-07-22,2023-03-21,0.82,0.88,2122
:00,", ",Latin America,":contactregion,",,2021-07-19,2025-09-03,0.85,0.8,988
,: ,Europe,: ,_.-9en28}00email,2018-12-30,2023-12-17,0.93,0.87,1206
supplier_@_},:-00-2score,Europe,country__: ,", @",2021-07-22,2023-12-21,0.92,0.82,1888
o, ,Asia Pacific,contact_-9T000,country,2018-11-29,2025-09-13,0.89,0.88,2180
", ",:i,Asia Pacific,", ",,2021-05-05,2021-12-01,0.82,0.79,1016
2 ,email__{,North America,", ","0__startquality,_ country_rate",2021-07-22,2023-12-07,0.82,0.83,1692
total,:0 ,Latin America,supplier: ,s.{.22,2018-05-10,2022-05-03,0.82,0.87,1274
. ,: ,North America,00,:00,2019-09-08,2025-08-01,0.93,0.82,2659
: ,202_9_,Middle East & Africa,{_l_e,contract,2019-07-05,2025-06-16,0.92,0.77,552
"-supplier00, ",:2: ,Europe,region_,_,2019-11-20,2024-07-12,0.9,0.84,1003
