date,region,total_sales,active_users,new_customers,marketing_spend,website_traffic,conversion_rate,customer_satisfaction
2023-01-14,East,65214.59,1595,96,4807.509,10781,0.0269,0.9424
2023-01-14,North,38208.03,1651,112,2618.623,9833,0.0364,0.9604
2023-01-14,South,48731.65,1243,74,3189.753,13782,0.0239,0.9553
2023-01-14,West,34158.06,1569,82,3987.991,5358,0.0358,0.9234
2023-01-15,East,42642.83,1148,91,1998.906,10264,0.0325,0.962
2023-01-15,North,30266.46,1949,93,2223.151,7128,0.0339,0.9143
2023-01-15,South,69903.21,1374,92,2677.269,19406,0.0269,0.8739
2023-01-15,West,48107.61,1468,77,4509.043,6865,0.0361,0.9265
2023-01-16,East,54771.67,3496,73,4540.48,19677,0.0256,0.9696
2023-01-16,North,119796.06,3489,135,3294.08,9604,0.0314,0.9218
2023-01-16,South,75107.0,1602,126,4072.91,17161,0.0299,0.9451
2023-01-16,West,68169.75,2147,119,4361.81,9524,0.0321,0.9038
2023-01-17,East,56027.32,3340,261,4051.94,18482,0.0298,0.9566
2023-01-17,North,48995.98,3775,198,4458.21,20987,0.0331,0.9619
2023-01-17,South,50365.22,1793,84,1927.57,17128,0.0303,0.9684
2023-01-17,West,59068.37,2386,114,3841.34,9533,0.025,0.9383
2023-01-18,East,46766.28,2189,114,2604.55,16040,0.0323,0.958
2023-01-18,North,67243.78,3186,48,18469.45,26914,0.0266,0.9462
2023-01-18,South,121703.25,2472,84,2428.72,10357,0.0321,0.9377
2023-01-18,West,67647.26,2209,100,5760.05,11168,0.0189,0.9122
2023-01-19,East,55600.29,1413,147,2699.08,14525,0.0307,0.9308
2023-01-19,North,99572.78,3639,210,3754.72,10671,0.0288,0.9163
2023-01-19,South,90606.57,1976,81,4617.11,10185,0.0344,0.9324
2023-01-19,West,70711.95,2793,49,5535.25,11693,0.0335,0.9289
2023-01-20,East,69483.98,3667,103,6497.7,15491,0.034,0.9669
2023-01-20,North,72414.58,2495,115,5489.43,21287,0.0207,0.9426
2023-01-20,South,79798.59,2020,119,4872.48,18211,0.0306,0.9265
2023-01-20,West,59931.68,2205,135,3744.79,15988,0.0309,0.9462
2023-01-21,East,60092.11,1330,59,2674.763,9204,0.0337,0.9488
2023-01-21,North,47589.89,1822,90,1736.483,10735,0.0328,0.9101
2023-01-21,South,26020.11,1039,45,2863.063,9939,0.0326,0.8889
2023-01-21,West,39125.03,1537,60,5145.139999999999,11791,0.034,0.9303
2023-01-22,East,66102.06,2906,133,6435.387,13616,0.0327,0.9822
2023-01-22,North,31586.81,2153,92,4533.949,6934,0.0332,0.9433
2023-01-22,South,62236.48,1763,47,3227.322,12734,0.0222,0.92
2023-01-22,West,50241.17,1148,96,4061.694,10045,0.0285,0.9716
2023-01-23,East,54976.91,2282,230,5565.04,8527,0.0272,0.8964
2023-01-23,North,128767.54,3588,121,7801.73,18322,0.024,0.9349
2023-01-23,South,52684.17,1849,195,3172.07,15756,0.0233,0.8953
2023-01-23,West,89519.45,1978,68,5975.63,8900,0.0184,0.95
2023-01-24,East,76264.16,3009,92,3016.16,24915,0.0265,0.9395
2023-01-24,North,52875.45,2769,223,6093.03,13517,0.033,0.9468
2023-01-24,South,58631.69,1831,317,2720.08,27166,0.0285,0.9423
2023-01-24,West,56048.93,1672,72,3585.25,9130,0.0274,0.929
2023-01-25,East,45912.95,2699,90,3161.26,7823,0.0312,0.9495
2023-01-25,North,71536.24,4143,128,8389.79,13165,0.0228,0.9664
2023-01-25,South,57023.62,2888,79,5928.37,18924,0.0284,0.9101
2023-01-25,West,55003.39,1452,77,9355.89,10898,0.0216,0.9314
2023-01-26,East,64880.8,2589,82,6130.03,14760,0.0288,0.9765
2023-01-26,North,131409.89,4091,141,3419.12,15713,0.033,0.9405
2023-01-26,South,53857.81,2476,175,4577.51,13843,0.0346,0.9517
2023-01-26,West,64745.14,2310,113,2925.49,16393,0.0309,0.9664
2023-01-27,East,63147.54,2645,119,4798.35,20024,0.0215,0.9303
2023-01-27,North,52430.86,2554,195,2929.71,18148,0.0238,0.9005
2023-01-27,South,46590.38,2266,199,4100.15,12608,0.0115,0.9258
2023-01-27,West,86545.41,2450,94,5395.19,8070,0.0314,0.9691
2023-01-28,East,50688.48,2073,80,2081.198,15447,0.0189,0.9761
2023-01-28,North,33946.61,3316,97,2837.877,9634,0.0261,0.9686
2023-01-28,South,24376.99,1434,51,4335.204999999999,13581,0.0307,0.9684
2023-01-28,West,38475.5,1266,46,4491.151,10344,0.0298,0.9066
2023-01-29,East,31942.88,1412,86,3569.496,17141,0.0309,0.9799
2023-01-29,North,30333.2,1749,80,3747.268,15681,0.0278,0.9213
2023-01-29,South,28091.77,1592,76,2245.019,12799,0.0262,0.8824
2023-01-29,West,31989.32,1292,115,2451.281,8531,0.034,0.9432
2023-01-30,East,67690.49,2894,64,4113.21,11232,0.0257,0.937
2023-01-30,North,80020.74,2870,103,1967.9,21131,0.025,0.9475
2023-01-30,South,41692.06,1770,155,4649.01,10727,0.0243,0.9469
2023-01-30,West,48250.78,2143,82,2716.84,10226,0.0211,0.9557
2023-01-31,East,64383.8,3300,239,5222.74,11608,0.021,0.9249
2023-01-31,North,77543.66,3414,228,3191.83,11164,0.0294,0.9468
2023-01-31,South,46636.58,1579,132,4960.04,13590,0.029,0.9489
2023-01-31,West,67248.04,1922,130,3874.84,7762,0.031,0.9166
2023-02-01,East,77568.74,1769,147,3402.92,23907,0.0256,0.9664
2023-02-01,North,104863.31,3479,114,3821.48,18919,0.03,0.9679
2023-02-01,South,49521.58,1662,63,2676.05,9418,0.0332,0.9505
2023-02-01,West,71836.72,2388,52,4682.15,11098,0.033,0.9726
2023-02-02,East,117799.37,3184,94,4763.39,18218,0.0301,0.9384
2023-02-02,North,99955.21,2783,102,1978.54,19782,0.0203,0.9432
2023-02-02,South,64310.54,1779,136,5004.86,21547,0.0278,0.9187
2023-02-02,West,44663.92,2103,75,6276.31,11220,0.0352,0.9558
2023-02-03,East,56741.87,2803,114,5403.5,12416,0.0338,0.9034
2023-02-03,North,83032.78,3770,201,4850.6,17425,0.0234,0.9649
2023-02-03,South,58151.41,2474,63,4164.9,11445,0.0273,0.9584
2023-02-03,West,74501.8,1668,131,4657.71,8667,0.0286,0.9326
2023-02-04,East,27234.9,1906,207,3241.294,7389,0.026,0.9514
2023-02-04,North,44258.83,2479,153,4551.567999999999,12307,0.0317,0.9435
2023-02-04,South,47329.63,1622,66,1902.901,6780,0.0334,0.905
2023-02-04,West,39599.49,1787,64,2029.496,9528,0.0325,0.9272
2023-02-05,East,44681.54,2932,116,2305.002,12560,0.0345,0.8989
2023-02-05,North,33053.18,1692,172,1855.378,8496,0.0277,0.9323
2023-02-05,South,101616.35,1994,177,1272.901,5818,0.0362,0.8947
2023-02-05,West,41322.16,1240,75,2023.826,10161,0.0304,0.9099
2023-02-06,East,34167.54,2709,84,3297.47,8290,0.0337,0.9497
2023-02-06,North,51270.61,4396,121,2225.82,16728,0.0296,0.9451
2023-02-06,South,46748.95,1651,187,3720.54,11692,0.0332,0.9495
2023-02-06,West,71141.67,1392,120,4119.91,14937,0.032,0.9531
2023-02-07,East,95097.04,2750,115,3909.8,14913,0.0348,0.9474
2023-02-07,North,69405.06,3469,156,4181.73,17331,0.0292,0.9068
2023-02-07,South,44477.52,1785,83,3479.61,16444,0.0315,0.9515
2023-02-07,West,41757.97,1983,125,5974.1,12535,0.0117,0.9139
2023-02-08,East,68056.06,2774,124,4719.87,10332,0.0301,0.9342
2023-02-08,North,65353.13,2184,162,4218.0,20097,0.0326,0.8883
2023-02-08,South,59207.99,1973,99,4260.0,13886,0.0343,0.9469
2023-02-08,West,42269.5,1363,26,5288.74,17938,0.0255,0.9488
2023-02-09,East,46304.64,2388,155,4572.1,14064,0.034,0.9551
2023-02-09,North,55587.29,2856,332,7950.7,24516,0.0248,0.9663
2023-02-09,South,76914.16,2685,263,4985.18,20623,0.0211,0.9549
2023-02-09,West,39402.62,2350,223,6460.14,8369,0.0327,0.9367
2023-02-10,East,60473.01,1614,184,3743.55,18516,0.0276,0.9555
2023-02-10,North,61860.6,3503,205,3458.13,16770,0.0316,0.943
2023-02-10,South,54453.68,3893,156,4556.21,19982,0.0243,0.9584
2023-02-10,West,52259.64,3191,107,4573.0,16158,0.0279,0.9546
2023-02-11,East,40590.89,1983,75,3224.676,11539,0.029,0.9545
2023-02-11,North,59638.2,1760,124,3573.6890000000003,11860,0.0183,0.9297
2023-02-11,South,46753.36,1022,126,2525.299,6798,0.0344,0.9224
2023-02-11,West,31186.81,2021,62,2521.344,8714,0.0282,0.9328
2023-02-12,East,44850.22,1445,49,3667.272,8626,0.0312,0.9392
2023-02-12,North,51762.28,1808,115,1760.5559999999998,13496,0.0233,0.9582
2023-02-12,South,28207.99,1078,53,3287.27,7124,0.0259,0.9671
2023-02-12,West,45505.57,1884,55,2640.736,11207,0.0285,0.9683
2023-02-13,East,43103.92,2689,108,5331.88,20743,0.0253,0.92
2023-02-13,North,89175.78,2700,168,7300.93,27455,0.0313,0.8902
2023-02-13,South,46527.17,2254,111,4698.24,26584,0.0309,0.9466
2023-02-13,West,37023.24,1606,197,5778.29,15657,0.0323,0.944
2023-02-14,East,56021.86,2090,88,3101.24,16261,0.0323,0.9486
2023-02-14,North,59832.57,2948,137,5014.05,19935,0.0289,0.9582
2023-02-14,South,69155.9,2884,139,4418.66,20986,0.0246,0.9276
2023-02-14,West,43747.11,2538,95,5639.32,10982,0.0337,0.9551
2023-02-15,East,87701.82,1508,121,5659.69,12596,0.0335,0.9185
2023-02-15,North,58374.16,2203,172,5249.19,21960,0.0297,0.9202
2023-02-15,South,45634.93,2479,187,9267.32,27786,0.0267,0.9565
2023-02-15,West,44814.92,3689,80,4467.36,13536,0.0318,0.9569
2023-02-16,East,65332.69,2458,419,3334.69,13614,0.013,0.9412
2023-02-16,North,90853.33,2476,214,2946.19,18966,0.03,0.8907
2023-02-16,South,50038.23,2316,155,2432.11,19677,0.0313,0.9703
2023-02-16,West,44774.64,2084,58,5177.94,14309,0.0337,0.9422
2023-02-17,East,80274.01,2921,268,5125.66,20191,0.0298,0.9755
2023-02-17,North,113539.76,2276,163,4042.26,16257,0.0348,0.9332
2023-02-17,South,94410.19,1873,208,3081.11,15222,0.0347,0.9327
2023-02-17,West,56959.3,2556,86,2636.85,10974,0.0201,0.9449
2023-02-18,East,56530.18,2121,85,3638.187,11171,0.0359,0.9427
2023-02-18,North,61144.71,1710,204,4079.537,7765,0.0334,0.9668
2023-02-18,South,22898.18,2335,206,1685.208,9668,0.0327,0.912
2023-02-18,West,43318.8,1770,139,4516.532999999999,7930,0.025,0.9165
2023-02-19,East,58382.05,1659,45,1264.291,6814,0.0293,0.9357
2023-02-19,North,52833.83,1648,186,4389.854,13870,0.0299,0.9236
2023-02-19,South,40491.66,2542,150,2202.221,13794,0.0295,0.9377
2023-02-19,West,33812.05,1147,61,1716.12,7404,0.0273,0.9625
2023-02-20,East,66336.79,3105,84,2647.37,13839,0.0312,0.9635
2023-02-20,North,26830.53,3171,183,3117.64,19441,0.0256,0.9053
2023-02-20,South,81362.01,2037,87,4750.25,13794,0.0246,0.9609
2023-02-20,West,44133.67,3183,166,4894.01,19874,0.0335,0.9439
2023-02-21,East,66570.28,2929,198,3654.63,15429,0.0311,0.9629
2023-02-21,North,66367.27,2608,134,4516.12,17319,0.0249,0.9507
2023-02-21,South,45509.47,2957,108,4875.01,13912,0.024,0.9595
2023-02-21,West,42643.59,2648,150,2863.03,13358,0.0321,0.9611
2023-02-22,East,47853.54,3122,171,2650.7,13485,0.0331,0.9381
2023-02-22,North,78454.8,3422,62,3943.32,12031,0.0283,0.9453
2023-02-22,South,73693.15,1857,99,2209.37,7705,0.0343,0.9687
2023-02-22,West,56249.38,1564,79,3873.66,17623,0.0265,0.9271
2023-02-23,East,41863.06,2250,136,5177.45,15286,0.0256,0.9472
2023-02-23,North,73235.3,2925,200,2643.78,14803,0.0277,0.8932
2023-02-23,South,64468.84,2742,190,5251.13,22300,0.03,0.9419
2023-02-23,West,39965.29,1743,155,2762.05,12885,0.031,0.9147
2023-02-24,East,45255.04,2054,116,3179.28,16260,0.0326,0.9663
2023-02-24,North,44756.77,3349,158,2482.35,9629,0.0268,0.899
2023-02-24,South,83892.51,2483,123,4015.0,12620,0.0305,0.9587
2023-02-24,West,22223.26,1891,73,5224.81,9964,0.0249,0.9435
2023-02-25,East,44995.73,1501,138,1887.606,13967,0.0253,0.9488
2023-02-25,North,57708.18,1853,93,6755.896,14314,0.0337,0.9498
2023-02-25,South,31237.51,1095,75,3223.983,5725,0.0316,0.9124
2023-02-25,West,30465.59,1039,38,3090.374,4661,0.0379,0.9525
2023-02-26,East,79994.5,1768,35,4539.948,9683,0.0349,0.9406
2023-02-26,North,61124.46,2050,118,3088.134,4963,0.0327,0.9117
2023-02-26,South,49445.88,1170,51,5128.249,8870,0.0341,0.9751
2023-02-26,West,29503.37,1302,46,2213.351,11875,0.0296,0.9331
2023-02-27,East,52466.05,2345,140,3961.86,41627,0.0266,0.9702
2023-02-27,North,47864.71,2617,129,2962.06,19072,0.0237,0.9306
2023-02-27,South,35078.02,3239,134,4723.73,13307,0.0256,0.9293
2023-02-27,West,46695.14,2116,148,4758.0,12172,0.0296,0.9457
2023-02-28,East,42144.64,1691,120,3812.5,17029,0.026,0.9404
2023-02-28,North,57370.86,1712,82,5220.56,25285,0.0296,0.8706
2023-02-28,South,57463.18,1414,136,3166.18,14555,0.0279,0.9542
2023-02-28,West,37379.26,1998,181,4683.12,12153,0.0315,0.9393
2023-03-01,East,47115.09,4015,94,7712.65,7911,0.0254,0.9434
2023-03-01,North,48586.09,3440,83,4590.78,13148,0.0341,0.9366
2023-03-01,South,42398.91,1672,78,3207.76,14453,0.0312,0.9054
2023-03-01,West,34145.23,2677,136,5342.71,12566,0.0297,0.9522
2023-03-02,East,54483.47,3273,67,2315.94,16362,0.0273,0.9367
2023-03-02,North,113592.36,2644,89,4379.54,11052,0.032,0.9776
2023-03-02,South,57899.34,2302,118,3865.83,15601,0.0277,0.9281
2023-03-02,West,56008.51,2892,45,2980.41,12389,0.0266,0.9152
2023-03-03,East,96380.17,3617,215,8417.33,23982,0.0304,0.9364
2023-03-03,North,120932.4,3331,93,2696.07,17970,0.0305,0.9203
2023-03-03,South,83495.4,3389,65,3013.14,13545,0.028,0.9793
2023-03-03,West,56666.38,1898,78,6190.12,11119,0.0227,0.9472
2023-03-04,East,51757.3,1435,128,1839.887,11114,0.0294,0.9232
2023-03-04,North,43995.31,1229,86,3165.7989999999995,17875,0.0197,0.9237
2023-03-04,South,38839.99,1634,92,2241.302,9225,0.0279,0.9468
2023-03-04,West,39474.01,1319,78,5661.243,11014,0.0338,0.9408
2023-03-05,East,33293.33,1642,52,3511.263,6151,0.0361,0.9575
2023-03-05,North,37757.31,1964,145,2232.979,9388,0.0327,0.9434
2023-03-05,South,35410.86,1318,106,1974.084,5195,0.0255,0.9634
2023-03-05,West,36549.88,1127,81,2335.606,11938,0.0309,0.938
2023-03-06,East,74514.37,3226,156,7319.53,19129,0.0341,0.9179
2023-03-06,North,51485.48,3061,138,5556.24,15011,0.0351,0.897
2023-03-06,South,49398.16,2334,86,2301.71,13516,0.0324,0.9307
2023-03-06,West,25645.75,1224,124,2428.21,11264,0.0274,0.9331
2023-03-07,East,54327.96,2508,85,3574.5,15146,0.0245,0.9683
2023-03-07,North,57286.26,1998,112,5906.92,19687,0.0263,0.9221
2023-03-07,South,62626.51,3864,100,4904.15,10808,0.0197,0.9248
2023-03-07,West,68204.22,2439,143,2851.06,15654,0.0327,0.9439
2023-03-08,East,96152.76,2609,222,4786.83,21832,0.0323,0.9384
2023-03-08,North,53904.44,3108,54,3212.46,18768,0.03,0.9331
2023-03-08,South,54780.23,2658,99,3395.34,14562,0.0346,0.9418
2023-03-08,West,42579.07,2026,153,2549.83,11516,0.0299,0.9318
2023-03-09,East,71844.31,2203,239,7280.16,27779,0.0294,0.9223
2023-03-09,North,78290.89,4274,243,4792.92,27400,0.0311,0.9359
2023-03-09,South,61821.66,2044,63,2953.0,17585,0.0312,0.9094
2023-03-09,West,51291.93,2632,52,3572.26,10624,0.0272,0.9296
2023-03-10,East,57425.25,2127,148,3529.89,20932,0.0328,0.9358
2023-03-10,North,85703.53,2420,157,4405.9,14458,0.0294,0.9203
2023-03-10,South,61101.42,2144,57,3463.89,9339,0.0277,0.9156
2023-03-10,West,55772.14,3099,117,3478.97,15269,0.0241,0.9598
2023-03-11,East,46435.08,2112,98,4344.06,9681,0.0224,0.9354
2023-03-11,North,51898.22,1706,104,3839.486,9999,0.029,0.9705
2023-03-11,South,32028.04,1362,39,2510.802,10365,0.0246,0.944
2023-03-11,West,34272.78,1464,50,5174.869,10050,0.0345,0.9456
2023-03-12,East,36965.05,1720,59,3560.599,15076,0.0339,0.9533
2023-03-12,North,48473.88,1876,104,2144.261,14985,0.0281,0.932
2023-03-12,South,52084.97,1015,27,5351.794,14961,0.0296,0.9417
2023-03-12,West,36256.9,1958,62,1655.311,12386,0.0256,0.8871
2023-03-13,East,43459.25,2653,208,6270.7,22332,0.03,0.9209
2023-03-13,North,58206.36,1633,180,4013.91,10795,0.0279,0.8976
2023-03-13,South,83309.67,1475,67,5666.57,17560,0.0285,0.975
2023-03-13,West,67027.95,2039,173,3446.99,12837,0.0341,0.9012
2023-03-14,East,52571.55,3029,93,4467.3,21116,0.0239,0.9435
2023-03-14,North,101462.13,1911,207,5513.9,16459,0.0188,0.9154
2023-03-14,South,54389.62,2044,98,3374.44,26685,0.0231,0.9479
2023-03-14,West,74072.73,2575,163,4891.04,11682,0.0241,0.9435
2023-03-15,East,75303.34,3069,38,4332.66,19787,0.0207,0.9062
2023-03-15,North,62186.97,3164,247,4388.02,13676,0.023,0.945
2023-03-15,South,51468.22,2573,122,4167.85,21185,0.0271,0.9293
2023-03-15,West,45485.07,2527,177,2854.69,9344,0.0287,0.9368
2023-03-16,East,31391.0,1706,213,4493.69,25056,0.0268,0.9135
2023-03-16,North,34832.04,3356,161,3714.46,22358,0.023,0.9402
2023-03-16,South,53702.06,2721,96,4884.28,8905,0.0287,0.9003
2023-03-16,West,53135.22,1519,60,3638.26,13683,0.0311,0.9501
2023-03-17,East,53572.13,1881,124,2543.32,14998,0.0288,0.9344
2023-03-17,North,46953.62,2723,144,4858.59,18984,0.0334,0.9315
2023-03-17,South,78290.81,1872,78,3786.58,17987,0.0228,0.9124
2023-03-17,West,73145.36,1916,78,2527.45,8183,0.0289,0.955
2023-03-18,East,56215.79,1720,80,3629.29,14206,0.0317,0.9129
2023-03-18,North,34585.87,1469,237,3924.242,9429,0.0308,0.9392
2023-03-18,South,34143.72,1809,55,1430.03,8362,0.0295,0.9643
2023-03-18,West,48161.96,1972,78,2972.326,8213,0.036,0.9726
2023-03-19,East,63349.86,2702,49,5118.924999999999,10229,0.024,0.9446
2023-03-19,North,48278.68,1602,62,2202.284,9173,0.0249,0.9707
2023-03-19,South,26882.54,1521,85,4380.096,18421,0.034,0.9797
2023-03-19,West,29637.12,1373,111,1745.3169999999998,17899,0.027,0.9413
2023-03-20,East,36183.02,2425,122,3300.88,19769,0.0324,0.892
2023-03-20,North,152755.64,2638,146,2707.84,8758,0.0318,0.9382
2023-03-20,South,40715.44,2818,67,5960.33,13269,0.031,0.8675
2023-03-20,West,60387.27,2415,118,3350.51,9560,0.03,0.9408
2023-03-21,East,65367.26,2950,118,3498.37,15677,0.0291,0.9439
2023-03-21,North,69096.69,2473,137,3566.94,8136,0.0316,0.9616
2023-03-21,South,58042.06,1805,138,3201.8,14780,0.0322,0.9539
2023-03-21,West,58884.57,1494,184,4759.14,9851,0.0346,0.9373
2023-03-22,East,67923.11,1541,145,3832.58,17657,0.0327,0.961
2023-03-22,North,52425.17,3137,82,2719.92,23663,0.0282,0.9136
2023-03-22,South,49157.36,2340,101,3853.17,12585,0.0304,0.9533
2023-03-22,West,66703.99,2054,57,5847.2,10649,0.0318,0.9563
2023-03-23,East,57050.79,2812,184,3369.06,13711,0.0312,0.9132
2023-03-23,North,79050.71,3095,78,3010.62,12534,0.0325,0.9273
2023-03-23,South,41846.19,3271,78,4441.93,17848,0.0282,0.9186
2023-03-23,West,54438.68,2000,107,5462.52,19808,0.0287,0.8948
2023-03-24,East,77403.39,2144,203,3834.08,17346,0.0338,0.9334
2023-03-24,North,51538.05,3177,126,2237.35,18799,0.0304,0.953
2023-03-24,South,55296.16,1942,71,3597.69,20092,0.0321,0.9674
2023-03-24,West,61295.54,1867,119,3773.64,14850,0.0259,0.9515
2023-03-25,East,54133.63,2525,141,4301.927,13033,0.0334,0.9373
2023-03-25,North,48809.17,2363,80,3051.258,11137,0.0288,0.9668
2023-03-25,South,103577.6,1086,62,3906.98,10346,0.0333,0.9792
2023-03-25,West,12793.15,1667,70,1866.704,10654,0.0209,0.9454
2023-03-26,East,65839.73,2196,112,2563.253,9921,0.0355,0.9384
2023-03-26,North,49730.53,1732,93,2050.412,12692,0.0261,0.9241
2023-03-26,South,64914.18,1849,189,1298.08,7882,0.0281,0.946
2023-03-26,West,24493.35,1185,74,2853.102,5481,0.0296,0.9505
2023-03-27,East,79257.15,2131,131,4280.83,9770,0.0324,0.8959
2023-03-27,North,91043.67,3265,207,3297.07,32154,0.0176,0.9471
2023-03-27,South,76645.73,3130,117,5900.64,16698,0.0334,0.9527
2023-03-27,West,28345.83,2226,86,4417.83,6947,0.0268,0.9418
2023-03-28,East,46891.66,1894,78,4875.94,12965,0.028,0.9379
2023-03-28,North,81618.56,2814,358,3571.13,16777,0.0257,0.9173
2023-03-28,South,52930.56,2252,277,3372.59,14973,0.0263,0.9618
2023-03-28,West,67007.14,1915,129,4994.02,17750,0.0339,0.9349
2023-03-29,East,55718.62,2438,230,6524.45,17670,0.0327,0.9356
2023-03-29,North,133364.33,1953,115,4837.02,21396,0.0278,0.9253
2023-03-29,South,94334.42,2665,63,4566.57,23530,0.029,0.9215
2023-03-29,West,57985.97,1503,63,4394.55,9941,0.0349,0.902
2023-03-30,East,75086.05,2649,101,2757.06,7418,0.0281,0.9344
2023-03-30,North,53053.13,3665,268,3179.05,14271,0.0316,0.969
2023-03-30,South,38910.69,2299,34,4429.9,17575,0.0314,0.9177
2023-03-30,West,45730.47,2127,37,3554.17,14779,0.0264,0.9535
2023-03-31,East,68777.68,2703,147,2358.15,11408,0.0312,0.916
2023-03-31,North,76897.0,2920,248,4533.38,16388,0.0267,0.9716
2023-03-31,South,50483.41,2843,78,4646.96,13887,0.0284,0.926
2023-03-31,West,48773.13,2297,85,3166.87,15818,0.0254,0.9226
2023-04-01,East,24061.24,1376,42,3462.2,8905,0.0331,0.9849
2023-04-01,North,40965.2,1841,84,3052.616,5955,0.0371,0.9412
2023-04-01,South,44776.5,855,65,2199.015,5551,0.0333,0.9748
2023-04-01,West,27615.04,1394,60,2295.069,6143,0.0279,1.0
2023-04-02,East,18563.26,2169,64,2857.099,9060,0.0333,1.0
2023-04-02,North,19854.9,1720,163,4874.212,9441,0.0341,0.9553
2023-04-02,South,42006.54,1038,50,3530.541,14649,0.0346,1.0
2023-04-02,West,14306.46,1228,76,3960.985,5489,0.0325,0.9661
2023-04-03,East,31610.13,1637,116,4552.19,14222,0.0271,1.0
2023-04-03,North,50932.84,2684,91,4907.54,12775,0.0266,0.9842
2023-04-03,South,36889.41,1748,93,6530.33,11380,0.0193,0.9698
2023-04-03,West,57288.36,1593,120,5358.52,6108,0.0337,0.9306
2023-04-04,East,40101.94,2279,117,3543.38,13693,0.0328,0.9647
2023-04-04,North,69835.21,2749,67,5042.66,13575,0.021,0.9875
2023-04-04,South,36309.66,2664,61,2951.46,9400,0.026,0.9995
2023-04-04,West,56147.39,1684,117,2607.83,12359,0.0325,0.9608
2023-04-05,East,40559.49,1389,70,4906.4,15251,0.0351,1.0
